question_id,image,acceptance_set,targets,scene_form,primary_label,primary_measure_degrees,secondary_label,secondary_measure_degrees,comparison_summary
angle_estimation_0001_open_q1,angle_estimation_0001.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=298; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,298,none,none,reflex
angle_estimation_0012_open_q1,angle_estimation_0012.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=57; secondary_label=Angle 1; secondary_measure_degrees=36; comparison_summary=wider-to-narrower ratio 1.58""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,57,Angle 1,36,wider-to-narrower ratio 1.58
angle_estimation_0013_open_q1,angle_estimation_0013.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=146; secondary_label=Angle 2; secondary_measure_degrees=40; comparison_summary=wider-to-narrower ratio 3.67""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,146,Angle 2,40,wider-to-narrower ratio 3.67
angle_estimation_0014_open_q1,angle_estimation_0014.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=122; secondary_label=Angle 2; secondary_measure_degrees=114; comparison_summary=wider-to-narrower ratio 1.07""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,122,Angle 2,114,wider-to-narrower ratio 1.07
angle_estimation_0015_open_q1,angle_estimation_0015.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=69; secondary_label=Angle 2; secondary_measure_degrees=29; comparison_summary=wider-to-narrower ratio 2.39""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,69,Angle 2,29,wider-to-narrower ratio 2.39
angle_estimation_0016_open_q1,angle_estimation_0016.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=73; secondary_label=B; secondary_measure_degrees=51; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,73,B,51,middle vertex A
angle_estimation_0017_open_q1,angle_estimation_0017.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=74; secondary_label=B; secondary_measure_degrees=35; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,74,B,35,middle vertex C
angle_estimation_0018_open_q1,angle_estimation_0018.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=70; secondary_label=B; secondary_measure_degrees=52; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,70,B,52,middle vertex A
angle_estimation_0019_open_q1,angle_estimation_0019.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=75; secondary_label=B; secondary_measure_degrees=46; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,75,B,46,middle vertex A
angle_estimation_0020_open_q1,angle_estimation_0020.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=77; secondary_label=B; secondary_measure_degrees=32; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,77,B,32,middle vertex A
angle_estimation_0021_open_q1,angle_estimation_0021.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=245; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,245,none,none,reflex
angle_estimation_0022_open_q1,angle_estimation_0022.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=18; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,18,none,none,minor
angle_estimation_0023_open_q1,angle_estimation_0023.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=313; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,313,none,none,reflex
angle_estimation_0024_open_q1,angle_estimation_0024.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=296; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,296,none,none,reflex
angle_estimation_0025_open_q1,angle_estimation_0025.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=30; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,30,none,none,minor
angle_estimation_0026_open_q1,angle_estimation_0026.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=234; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,234,none,none,reflex
angle_estimation_0027_open_q1,angle_estimation_0027.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=248; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,248,none,none,reflex
angle_estimation_0028_open_q1,angle_estimation_0028.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=54; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,54,none,none,minor
angle_estimation_0029_open_q1,angle_estimation_0029.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=166; secondary_label=Angle 2; secondary_measure_degrees=27; comparison_summary=wider-to-narrower ratio 6.23""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,166,Angle 2,27,wider-to-narrower ratio 6.23
angle_estimation_0030_open_q1,angle_estimation_0030.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=166; secondary_label=Angle 1; secondary_measure_degrees=142; comparison_summary=wider-to-narrower ratio 1.17""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,166,Angle 1,142,wider-to-narrower ratio 1.17
angle_estimation_0031_open_q1,angle_estimation_0031.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=73; secondary_label=Angle 1; secondary_measure_degrees=28; comparison_summary=wider-to-narrower ratio 2.6""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,73,Angle 1,28,wider-to-narrower ratio 2.6
angle_estimation_0032_open_q1,angle_estimation_0032.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=106; secondary_label=Angle 1; secondary_measure_degrees=85; comparison_summary=wider-to-narrower ratio 1.25""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,106,Angle 1,85,wider-to-narrower ratio 1.25
angle_estimation_0033_open_q1,angle_estimation_0033.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=141; secondary_label=Angle 1; secondary_measure_degrees=111; comparison_summary=wider-to-narrower ratio 1.27""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,141,Angle 1,111,wider-to-narrower ratio 1.27
angle_estimation_0034_open_q1,angle_estimation_0034.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=54; secondary_label=Angle 1; secondary_measure_degrees=35; comparison_summary=wider-to-narrower ratio 1.55""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,54,Angle 1,35,wider-to-narrower ratio 1.55
angle_estimation_0035_open_q1,angle_estimation_0035.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=145; secondary_label=Angle 1; secondary_measure_degrees=22; comparison_summary=wider-to-narrower ratio 6.68""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,145,Angle 1,22,wider-to-narrower ratio 6.68
angle_estimation_0036_open_q1,angle_estimation_0036.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=B; secondary_measure_degrees=41; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,91,B,41,middle vertex C
angle_estimation_0037_open_q1,angle_estimation_0037.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=C; secondary_measure_degrees=36; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,90,C,36,middle vertex B
angle_estimation_0038_open_q1,angle_estimation_0038.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=30; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,30,middle vertex C
angle_estimation_0039_open_q1,angle_estimation_0039.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=40; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,40,middle vertex C
angle_estimation_0040_open_q1,angle_estimation_0040.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=31; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,31,middle vertex C
angle_estimation_0041_open_q1,angle_estimation_0041.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=66; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,66,none,none,minor
angle_estimation_0042_open_q1,angle_estimation_0042.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=19; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,19,none,none,minor
angle_estimation_0043_open_q1,angle_estimation_0043.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=247; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,247,none,none,reflex
angle_estimation_0044_open_q1,angle_estimation_0044.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=194; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,194,none,none,reflex
angle_estimation_0045_open_q1,angle_estimation_0045.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=90; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,90,none,none,minor
angle_estimation_0046_open_q1,angle_estimation_0046.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=24; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,24,none,none,minor
angle_estimation_0047_open_q1,angle_estimation_0047.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=156; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,156,none,none,minor
angle_estimation_0048_open_q1,angle_estimation_0048.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=55; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,55,none,none,minor
angle_estimation_0049_open_q1,angle_estimation_0049.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=130; secondary_label=Angle 2; secondary_measure_degrees=92; comparison_summary=wider-to-narrower ratio 1.42""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,130,Angle 2,92,wider-to-narrower ratio 1.42
angle_estimation_0050_open_q1,angle_estimation_0050.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=66; secondary_label=Angle 1; secondary_measure_degrees=26; comparison_summary=wider-to-narrower ratio 2.55""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,66,Angle 1,26,wider-to-narrower ratio 2.55
angle_estimation_0051_open_q1,angle_estimation_0051.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=98; secondary_label=Angle 2; secondary_measure_degrees=84; comparison_summary=wider-to-narrower ratio 1.16""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,98,Angle 2,84,wider-to-narrower ratio 1.16
angle_estimation_0052_open_q1,angle_estimation_0052.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=151; secondary_label=Angle 2; secondary_measure_degrees=92; comparison_summary=wider-to-narrower ratio 1.64""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,151,Angle 2,92,wider-to-narrower ratio 1.64
angle_estimation_0053_open_q1,angle_estimation_0053.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=47; secondary_label=Angle 2; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 1.45""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,47,Angle 2,32,wider-to-narrower ratio 1.45
angle_estimation_0054_open_q1,angle_estimation_0054.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=99; secondary_label=Angle 2; secondary_measure_degrees=87; comparison_summary=wider-to-narrower ratio 1.13""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,99,Angle 2,87,wider-to-narrower ratio 1.13
angle_estimation_0055_open_q1,angle_estimation_0055.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=128; secondary_label=Angle 1; secondary_measure_degrees=34; comparison_summary=wider-to-narrower ratio 3.77""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,128,Angle 1,34,wider-to-narrower ratio 3.77
angle_estimation_0056_open_q1,angle_estimation_0056.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=120; secondary_label=C; secondary_measure_degrees=30; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,120,C,30,middle vertex B
angle_estimation_0057_open_q1,angle_estimation_0057.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=99; secondary_label=B; secondary_measure_degrees=36; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,99,B,36,middle vertex C
angle_estimation_0058_open_q1,angle_estimation_0058.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=125; secondary_label=C; secondary_measure_degrees=23; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,125,C,23,middle vertex B
angle_estimation_0059_open_q1,angle_estimation_0059.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=138; secondary_label=B; secondary_measure_degrees=13; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,138,B,13,middle vertex C
angle_estimation_0060_open_q1,angle_estimation_0060.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=109; secondary_label=B; secondary_measure_degrees=35; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,109,B,35,middle vertex C
angle_estimation_0061_open_q1,angle_estimation_0061.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=199; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,199,none,none,reflex
angle_estimation_0062_open_q1,angle_estimation_0062.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=32; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,32,none,none,minor
angle_estimation_0063_open_q1,angle_estimation_0063.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=110; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,110,none,none,minor
angle_estimation_0064_open_q1,angle_estimation_0064.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=224; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,224,none,none,reflex
angle_estimation_0065_open_q1,angle_estimation_0065.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=60; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,60,none,none,minor
angle_estimation_0066_open_q1,angle_estimation_0066.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=158; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,158,none,none,minor
angle_estimation_0067_open_q1,angle_estimation_0067.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=341; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,341,none,none,reflex
angle_estimation_0068_open_q1,angle_estimation_0068.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=330; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,330,none,none,reflex
angle_estimation_0069_open_q1,angle_estimation_0069.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=60; secondary_label=Angle 1; secondary_measure_degrees=33; comparison_summary=wider-to-narrower ratio 1.82""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,60,Angle 1,33,wider-to-narrower ratio 1.82
angle_estimation_0070_open_q1,angle_estimation_0070.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=139; secondary_label=Angle 2; secondary_measure_degrees=48; comparison_summary=wider-to-narrower ratio 2.92""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,139,Angle 2,48,wider-to-narrower ratio 2.92
angle_estimation_0071_open_q1,angle_estimation_0071.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=109; secondary_label=Angle 2; secondary_measure_degrees=11; comparison_summary=wider-to-narrower ratio 9.62""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,109,Angle 2,11,wider-to-narrower ratio 9.62
angle_estimation_0072_open_q1,angle_estimation_0072.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=61; secondary_label=Angle 1; secondary_measure_degrees=25; comparison_summary=wider-to-narrower ratio 2.48""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,61,Angle 1,25,wider-to-narrower ratio 2.48
angle_estimation_0073_open_q1,angle_estimation_0073.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=100; secondary_label=Angle 1; secondary_measure_degrees=90; comparison_summary=wider-to-narrower ratio 1.11""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,100,Angle 1,90,wider-to-narrower ratio 1.11
angle_estimation_0074_open_q1,angle_estimation_0074.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=149; secondary_label=Angle 2; secondary_measure_degrees=61; comparison_summary=wider-to-narrower ratio 2.44""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,149,Angle 2,61,wider-to-narrower ratio 2.44
angle_estimation_0075_open_q1,angle_estimation_0075.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=80; secondary_label=Angle 2; secondary_measure_degrees=17; comparison_summary=wider-to-narrower ratio 4.79""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,80,Angle 2,17,wider-to-narrower ratio 4.79
angle_estimation_0076_open_q1,angle_estimation_0076.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=82; secondary_label=B; secondary_measure_degrees=48; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,82,B,48,middle vertex A
angle_estimation_0077_open_q1,angle_estimation_0077.png,"[""scene_form=labelled triangle; primary_label=B; primary_measure_degrees=83; secondary_label=C; secondary_measure_degrees=48; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,B,83,C,48,middle vertex A
angle_estimation_0078_open_q1,angle_estimation_0078.png,"[""scene_form=labelled triangle; primary_label=B; primary_measure_degrees=66; secondary_label=C; secondary_measure_degrees=50; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,B,66,C,50,middle vertex A
angle_estimation_0079_open_q1,angle_estimation_0079.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=85; secondary_label=A; secondary_measure_degrees=47; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,C,85,A,47,middle vertex B
angle_estimation_0080_open_q1,angle_estimation_0080.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=65; secondary_label=C; secondary_measure_degrees=53; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,65,C,53,middle vertex B
angle_estimation_0081_open_q1,angle_estimation_0081.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=125; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,125,none,none,minor
angle_estimation_0082_open_q1,angle_estimation_0082.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=339; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,339,none,none,reflex
angle_estimation_0083_open_q1,angle_estimation_0083.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=40; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,40,none,none,minor
angle_estimation_0084_open_q1,angle_estimation_0084.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=321; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,321,none,none,reflex
angle_estimation_0085_open_q1,angle_estimation_0085.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=120; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,120,none,none,minor
angle_estimation_0086_open_q1,angle_estimation_0086.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=21; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,21,none,none,minor
angle_estimation_0087_open_q1,angle_estimation_0087.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=74; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,74,none,none,minor
angle_estimation_0088_open_q1,angle_estimation_0088.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=123; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,123,none,none,minor
angle_estimation_0089_open_q1,angle_estimation_0089.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=146; secondary_label=Angle 1; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 4.5""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,146,Angle 1,32,wider-to-narrower ratio 4.5
angle_estimation_0090_open_q1,angle_estimation_0090.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=116; secondary_label=Angle 1; secondary_measure_degrees=25; comparison_summary=wider-to-narrower ratio 4.65""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,116,Angle 1,25,wider-to-narrower ratio 4.65
angle_estimation_0091_open_q1,angle_estimation_0091.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=52; secondary_label=Angle 1; secondary_measure_degrees=44; comparison_summary=wider-to-narrower ratio 1.18""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,52,Angle 1,44,wider-to-narrower ratio 1.18
angle_estimation_0092_open_q1,angle_estimation_0092.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=155; secondary_label=Angle 1; secondary_measure_degrees=16; comparison_summary=wider-to-narrower ratio 9.94""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,155,Angle 1,16,wider-to-narrower ratio 9.94
angle_estimation_0093_open_q1,angle_estimation_0093.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=151; secondary_label=Angle 1; secondary_measure_degrees=126; comparison_summary=wider-to-narrower ratio 1.2""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,151,Angle 1,126,wider-to-narrower ratio 1.2
angle_estimation_0094_open_q1,angle_estimation_0094.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=55; secondary_label=Angle 1; secondary_measure_degrees=30; comparison_summary=wider-to-narrower ratio 1.84""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,55,Angle 1,30,wider-to-narrower ratio 1.84
angle_estimation_0095_open_q1,angle_estimation_0095.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=114; secondary_label=Angle 2; secondary_measure_degrees=68; comparison_summary=wider-to-narrower ratio 1.68""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,114,Angle 2,68,wider-to-narrower ratio 1.68
angle_estimation_0096_open_q1,angle_estimation_0096.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=28; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,28,middle vertex C
