question_id,image,acceptance_set,tolerances,targets,shape_count,shrink_pattern,rotation_degrees_nearest_10
nested_triangles_0011_open_q1,nested_triangles_0011.png,"[""shape_count=8; shrink_pattern=changing; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,changing,50
nested_triangles_0012_open_q1,nested_triangles_0012.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,0
nested_triangles_0013_open_q1,nested_triangles_0013.png,"[""shape_count=12; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,constant,0
nested_triangles_0014_open_q1,nested_triangles_0014.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,70
nested_triangles_0015_open_q1,nested_triangles_0015.png,"[""shape_count=8; shrink_pattern=constant; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,constant,50
nested_triangles_0016_open_q1,nested_triangles_0016.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,90
nested_triangles_0017_open_q1,nested_triangles_0017.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,80
nested_triangles_0018_open_q1,nested_triangles_0018.png,"[""shape_count=9; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,changing,80
nested_triangles_0019_open_q1,nested_triangles_0019.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,0
nested_triangles_0020_open_q1,nested_triangles_0020.png,"[""shape_count=11; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,changing,0
nested_triangles_0021_open_q1,nested_triangles_0021.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,80
nested_triangles_0022_open_q1,nested_triangles_0022.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,0
nested_triangles_0023_open_q1,nested_triangles_0023.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,30
nested_triangles_0024_open_q1,nested_triangles_0024.png,"[""shape_count=8; shrink_pattern=changing; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,changing,100
nested_triangles_0025_open_q1,nested_triangles_0025.png,"[""shape_count=12; shrink_pattern=changing; rotation_degrees_nearest_10=20""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,changing,20
nested_triangles_0026_open_q1,nested_triangles_0026.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,90
nested_triangles_0027_open_q1,nested_triangles_0027.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,80
nested_triangles_0028_open_q1,nested_triangles_0028.png,"[""shape_count=9; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,constant,80
nested_triangles_0029_open_q1,nested_triangles_0029.png,"[""shape_count=11; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,constant,0
nested_triangles_0030_open_q1,nested_triangles_0030.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,80
nested_triangles_0031_open_q1,nested_triangles_0031.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,0
nested_triangles_0032_open_q1,nested_triangles_0032.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,30
nested_triangles_0033_open_q1,nested_triangles_0033.png,"[""shape_count=6; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,changing,70
nested_triangles_0034_open_q1,nested_triangles_0034.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,60
nested_triangles_0035_open_q1,nested_triangles_0035.png,"[""shape_count=8; shrink_pattern=constant; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,constant,100
nested_triangles_0036_open_q1,nested_triangles_0036.png,"[""shape_count=12; shrink_pattern=constant; rotation_degrees_nearest_10=20""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,constant,20
nested_triangles_0037_open_q1,nested_triangles_0037.png,"[""shape_count=6; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,constant,70
nested_triangles_0038_open_q1,nested_triangles_0038.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,60
nested_triangles_0039_open_q1,nested_triangles_0039.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,30
nested_triangles_0040_open_q1,nested_triangles_0040.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,50
nested_triangles_0041_open_q1,nested_triangles_0041.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,30
nested_triangles_0042_open_q1,nested_triangles_0042.png,"[""shape_count=12; shrink_pattern=changing; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,changing,100
nested_triangles_0043_open_q1,nested_triangles_0043.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,50
nested_triangles_0044_open_q1,nested_triangles_0044.png,"[""shape_count=12; shrink_pattern=constant; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,constant,100
nested_triangles_0045_open_q1,nested_triangles_0045.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,90
nested_triangles_0046_open_q1,nested_triangles_0046.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,90
nested_triangles_0047_open_q1,nested_triangles_0047.png,"[""shape_count=6; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,constant,70
nested_triangles_0048_open_q1,nested_triangles_0048.png,"[""shape_count=6; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",6,changing,70
nested_triangles_0049_open_q1,nested_triangles_0049.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,80
nested_triangles_0050_open_q1,nested_triangles_0050.png,"[""shape_count=11; shrink_pattern=constant; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,constant,90
nested_triangles_0051_open_q1,nested_triangles_0051.png,"[""shape_count=5; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",5,constant,70
nested_triangles_0052_open_q1,nested_triangles_0052.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,80
nested_triangles_0053_open_q1,nested_triangles_0053.png,"[""shape_count=11; shrink_pattern=changing; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,changing,90
nested_triangles_0054_open_q1,nested_triangles_0054.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,30
nested_triangles_0055_open_q1,nested_triangles_0055.png,"[""shape_count=11; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,constant,0
nested_triangles_0056_open_q1,nested_triangles_0056.png,"[""shape_count=5; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",5,changing,70
nested_triangles_0057_open_q1,nested_triangles_0057.png,"[""shape_count=12; shrink_pattern=constant; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,constant,100
nested_triangles_0058_open_q1,nested_triangles_0058.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=30""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,30
nested_triangles_0059_open_q1,nested_triangles_0059.png,"[""shape_count=11; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,changing,0
nested_triangles_0060_open_q1,nested_triangles_0060.png,"[""shape_count=12; shrink_pattern=changing; rotation_degrees_nearest_10=100""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",12,changing,100
nested_triangles_0061_open_q1,nested_triangles_0061.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,80
nested_triangles_0062_open_q1,nested_triangles_0062.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,80
nested_triangles_0063_open_q1,nested_triangles_0063.png,"[""shape_count=9; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,changing,80
nested_triangles_0064_open_q1,nested_triangles_0064.png,"[""shape_count=9; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,constant,80
nested_triangles_0065_open_q1,nested_triangles_0065.png,"[""shape_count=7; shrink_pattern=changing; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,changing,50
nested_triangles_0066_open_q1,nested_triangles_0066.png,"[""shape_count=8; shrink_pattern=changing; rotation_degrees_nearest_10=20""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,changing,20
nested_triangles_0067_open_q1,nested_triangles_0067.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,80
nested_triangles_0068_open_q1,nested_triangles_0068.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,60
nested_triangles_0069_open_q1,nested_triangles_0069.png,"[""shape_count=7; shrink_pattern=constant; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",7,constant,50
nested_triangles_0070_open_q1,nested_triangles_0070.png,"[""shape_count=8; shrink_pattern=constant; rotation_degrees_nearest_10=20""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,constant,20
nested_triangles_0071_open_q1,nested_triangles_0071.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=80""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,80
nested_triangles_0072_open_q1,nested_triangles_0072.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,60
nested_triangles_0073_open_q1,nested_triangles_0073.png,"[""shape_count=9; shrink_pattern=constant; rotation_degrees_nearest_10=40""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,constant,40
nested_triangles_0074_open_q1,nested_triangles_0074.png,"[""shape_count=9; shrink_pattern=changing; rotation_degrees_nearest_10=40""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",9,changing,40
nested_triangles_0075_open_q1,nested_triangles_0075.png,"[""shape_count=10; shrink_pattern=changing; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,changing,0
nested_triangles_0076_open_q1,nested_triangles_0076.png,"[""shape_count=10; shrink_pattern=constant; rotation_degrees_nearest_10=0""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",10,constant,0
nested_triangles_0077_open_q1,nested_triangles_0077.png,"[""shape_count=11; shrink_pattern=constant; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,constant,90
nested_triangles_0078_open_q1,nested_triangles_0078.png,"[""shape_count=11; shrink_pattern=changing; rotation_degrees_nearest_10=90""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",11,changing,90
nested_triangles_0079_open_q1,nested_triangles_0079.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,60
nested_triangles_0080_open_q1,nested_triangles_0080.png,"[""shape_count=8; shrink_pattern=changing; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,changing,50
nested_triangles_0081_open_q1,nested_triangles_0081.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=40""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,40
nested_triangles_0082_open_q1,nested_triangles_0082.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=60""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,60
nested_triangles_0083_open_q1,nested_triangles_0083.png,"[""shape_count=8; shrink_pattern=constant; rotation_degrees_nearest_10=50""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",8,constant,50
nested_triangles_0084_open_q1,nested_triangles_0084.png,"[""shape_count=5; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",5,changing,70
nested_triangles_0085_open_q1,nested_triangles_0085.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=40""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,40
nested_triangles_0086_open_q1,nested_triangles_0086.png,"[""shape_count=5; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",5,constant,70
nested_triangles_0087_open_q1,nested_triangles_0087.png,"[""shape_count=4; shrink_pattern=constant; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,constant,70
nested_triangles_0088_open_q1,nested_triangles_0088.png,"[""shape_count=4; shrink_pattern=changing; rotation_degrees_nearest_10=70""]","{""rotation_degrees_nearest_10"":{""absolute_tolerance"":10,""unit"":""degrees""},""shape_count"":{""absolute_tolerance"":0,""unit"":""count""}}","[""nested triangles""]",4,changing,70
