task,image,prompt,groundtruth,metadata
Image Description,compass_bearing_0003.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":3}"
Basic Relational Reasoning,compass_bearing_0003.png,"Is landmark A located north or south of landmark B? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":3}"
Comparative Reasoning,compass_bearing_0003.png,"What is the compass bearing from landmark D to landmark C, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",250,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":3}"
Compound Reasoning,compass_bearing_0003.png,"If you are standing at landmark A facing landmark D, and then turn to face landmark C instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",5 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":3}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0003.png,"If you traveled from landmark D along a bearing of 085 degrees for the same distance as D-to-B, which of these landmarks would the projected endpoint be closest to: A, B, C? Give the letter and briefly justify using endpoint distance and bearing difference.",A; projected endpoint is closest to A (57.7 map units away; bearing difference 3.7 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":3}"
Image Description,compass_bearing_0004.png,How many landmarks are shown on this map?,3,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":99.37706069,""path_end"":""A"",""path_start"":""C"",""seed"":4}"
Basic Relational Reasoning,compass_bearing_0004.png,"Is landmark B located north or south of landmark A? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":99.37706069,""path_end"":""A"",""path_start"":""C"",""seed"":4}"
Comparative Reasoning,compass_bearing_0004.png,"What is the compass bearing from landmark C to landmark B, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",120,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":99.37706069,""path_end"":""A"",""path_start"":""C"",""seed"":4}"
Compound Reasoning,compass_bearing_0004.png,"If you are standing at landmark B facing landmark C, and then turn to face landmark A instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",8 degrees clockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":99.37706069,""path_end"":""A"",""path_start"":""C"",""seed"":4}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0004.png,"If you traveled from landmark A along a bearing of 095 degrees for the same distance as A-to-B, which of these landmarks would the projected endpoint be closest to: B, C? Give the letter and briefly justify using endpoint distance and bearing difference.",B; projected endpoint is closest to B (135.4 map units away; bearing difference 30.0 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":99.37706069,""path_end"":""A"",""path_start"":""C"",""seed"":4}"
Image Description,compass_bearing_0005.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.83,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":325.79951587,""path_end"":""C"",""path_start"":""B"",""seed"":5}"
Basic Relational Reasoning,compass_bearing_0005.png,"Is landmark B located north or south of landmark C? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.83,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":325.79951587,""path_end"":""C"",""path_start"":""B"",""seed"":5}"
Comparative Reasoning,compass_bearing_0005.png,"What is the compass bearing from landmark B to landmark D, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",310,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.83,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":325.79951587,""path_end"":""C"",""path_start"":""B"",""seed"":5}"
Compound Reasoning,compass_bearing_0005.png,"If you are standing at landmark C facing landmark B, and then turn to face landmark D instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",148 degrees clockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.83,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":325.79951587,""path_end"":""C"",""path_start"":""B"",""seed"":5}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0005.png,"If you traveled from landmark B along a bearing of 289 degrees for the same distance as B-to-A, which of these landmarks would the projected endpoint be closest to: A, C, D? Give the letter and briefly justify using endpoint distance and bearing difference.",A; projected endpoint is closest to A (128.5 map units away; bearing difference 29.5 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.83,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":325.79951587,""path_end"":""C"",""path_start"":""B"",""seed"":5}"
Image Description,compass_bearing_0006.png,How many landmarks are shown on this map?,3,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.35,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":6}"
Basic Relational Reasoning,compass_bearing_0006.png,"Is landmark B located north or south of landmark C? Answer 'north', 'south', or 'same latitude'.",north,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.35,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":6}"
Comparative Reasoning,compass_bearing_0006.png,"What is the compass bearing from landmark C to landmark B, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",070,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.35,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":6}"
Compound Reasoning,compass_bearing_0006.png,"If you are standing at landmark B facing landmark C, and then turn to face landmark A instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",84 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.35,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":6}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0006.png,"If you traveled from landmark C along a bearing of 337 degrees for the same distance as C-to-B, which of these landmarks would the projected endpoint be closest to: A, B? Give the letter and briefly justify using endpoint distance and bearing difference.",B; projected endpoint is closest to B (204.4 map units away; bearing difference 90.2 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.35,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":6}"
Image Description,compass_bearing_0007.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":7}"
Basic Relational Reasoning,compass_bearing_0007.png,"Is landmark B located north or south of landmark D? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":7}"
Comparative Reasoning,compass_bearing_0007.png,"What is the compass bearing from landmark A to landmark D, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",340,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":7}"
Compound Reasoning,compass_bearing_0007.png,"If you are standing at landmark C facing landmark D, and then turn to face landmark A instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",42 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":7}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0007.png,"If you traveled from landmark A along a bearing of 033 degrees for the same distance as A-to-C, which of these landmarks would the projected endpoint be closest to: B, C, D? Give the letter and briefly justify using endpoint distance and bearing difference.",C; projected endpoint is closest to C (105.6 map units away; bearing difference 29.9 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":7}"
Image Description,compass_bearing_0008.png,How many landmarks are shown on this map?,3,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":126.94316587,""path_end"":""A"",""path_start"":""B"",""seed"":8}"
Basic Relational Reasoning,compass_bearing_0008.png,"Is landmark B located north or south of landmark A? Answer 'north', 'south', or 'same latitude'.",north,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":126.94316587,""path_end"":""A"",""path_start"":""B"",""seed"":8}"
Comparative Reasoning,compass_bearing_0008.png,"What is the compass bearing from landmark C to landmark A, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",040,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":126.94316587,""path_end"":""A"",""path_start"":""B"",""seed"":8}"
Compound Reasoning,compass_bearing_0008.png,"If you are standing at landmark A facing landmark B, and then turn to face landmark C instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",84 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":126.94316587,""path_end"":""A"",""path_start"":""B"",""seed"":8}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0008.png,"If you traveled from landmark C along a bearing of 133 degrees for the same distance as C-to-A, which of these landmarks would the projected endpoint be closest to: A, B? Give the letter and briefly justify using endpoint distance and bearing difference.",A; projected endpoint is closest to A (129.8 map units away; bearing difference 89.8 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":3,""path_bearing"":126.94316587,""path_end"":""A"",""path_start"":""B"",""seed"":8}"
Image Description,compass_bearing_0009.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.53,""distance_unit"":""abstract map units"",""generation_attempt"":1,""has_path"":true,""num_landmarks"":4,""path_bearing"":184.35940784,""path_end"":""D"",""path_start"":""C"",""seed"":9}"
Basic Relational Reasoning,compass_bearing_0009.png,"Is landmark A located north or south of landmark B? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.53,""distance_unit"":""abstract map units"",""generation_attempt"":1,""has_path"":true,""num_landmarks"":4,""path_bearing"":184.35940784,""path_end"":""D"",""path_start"":""C"",""seed"":9}"
Comparative Reasoning,compass_bearing_0009.png,"What is the compass bearing from landmark B to landmark D, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",130,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.53,""distance_unit"":""abstract map units"",""generation_attempt"":1,""has_path"":true,""num_landmarks"":4,""path_bearing"":184.35940784,""path_end"":""D"",""path_start"":""C"",""seed"":9}"
Compound Reasoning,compass_bearing_0009.png,"If you are standing at landmark C facing landmark A, and then turn to face landmark B instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",38 degrees clockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.53,""distance_unit"":""abstract map units"",""generation_attempt"":1,""has_path"":true,""num_landmarks"":4,""path_bearing"":184.35940784,""path_end"":""D"",""path_start"":""C"",""seed"":9}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0009.png,"If you traveled from landmark A along a bearing of 330 degrees for the same distance as A-to-C, which of these landmarks would the projected endpoint be closest to: B, C, D? Give the letter and briefly justify using endpoint distance and bearing difference.",B; projected endpoint is closest to B (76.7 map units away; bearing difference 10.1 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.53,""distance_unit"":""abstract map units"",""generation_attempt"":1,""has_path"":true,""num_landmarks"":4,""path_bearing"":184.35940784,""path_end"":""D"",""path_start"":""C"",""seed"":9}"
Image Description,compass_bearing_0010.png,How many landmarks are shown on this map?,3,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.49,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":10}"
Basic Relational Reasoning,compass_bearing_0010.png,"Is landmark C located north or south of landmark B? Answer 'north', 'south', or 'same latitude'.",same latitude,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.49,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":10}"
Comparative Reasoning,compass_bearing_0010.png,"What is the compass bearing from landmark B to landmark A, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",290,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.49,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":10}"
Compound Reasoning,compass_bearing_0010.png,"If you are standing at landmark B facing landmark A, and then turn to face landmark C instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",18 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.49,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":10}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0010.png,"If you traveled from landmark A along a bearing of 348 degrees for the same distance as A-to-B, which of these landmarks would the projected endpoint be closest to: B, C? Give the letter and briefly justify using endpoint distance and bearing difference.",C; projected endpoint is closest to C (316.6 map units away; bearing difference 161.2 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.49,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":3,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":10}"
Image Description,compass_bearing_0011.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":11}"
Basic Relational Reasoning,compass_bearing_0011.png,"Is landmark C located north or south of landmark A? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":11}"
Comparative Reasoning,compass_bearing_0011.png,"What is the compass bearing from landmark A to landmark C, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",210,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":11}"
Compound Reasoning,compass_bearing_0011.png,"If you are standing at landmark B facing landmark D, and then turn to face landmark A instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",65 degrees clockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":11}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0011.png,"If you traveled from landmark D along a bearing of 052 degrees for the same distance as D-to-A, which of these landmarks would the projected endpoint be closest to: A, B, C? Give the letter and briefly justify using endpoint distance and bearing difference.",A; projected endpoint is closest to A (298.3 map units away; bearing difference 89.7 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.45,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":false,""num_landmarks"":4,""path_bearing"":null,""path_end"":null,""path_start"":null,""seed"":11}"
Image Description,compass_bearing_0012.png,How many landmarks are shown on this map?,3,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":2,""has_path"":true,""num_landmarks"":3,""path_bearing"":332.92469456,""path_end"":""B"",""path_start"":""C"",""seed"":12}"
Basic Relational Reasoning,compass_bearing_0012.png,"Is landmark C located north or south of landmark B? Answer 'north', 'south', or 'same latitude'.",south,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":2,""has_path"":true,""num_landmarks"":3,""path_bearing"":332.92469456,""path_end"":""B"",""path_start"":""C"",""seed"":12}"
Comparative Reasoning,compass_bearing_0012.png,"What is the compass bearing from landmark A to landmark C, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",100,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":2,""has_path"":true,""num_landmarks"":3,""path_bearing"":332.92469456,""path_end"":""B"",""path_start"":""C"",""seed"":12}"
Compound Reasoning,compass_bearing_0012.png,"If you are standing at landmark B facing landmark A, and then turn to face landmark C instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",43 degrees counterclockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":2,""has_path"":true,""num_landmarks"":3,""path_bearing"":332.92469456,""path_end"":""B"",""path_start"":""C"",""seed"":12}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0012.png,"If you traveled from landmark B along a bearing of 286 degrees for the same distance as B-to-A, which of these landmarks would the projected endpoint be closest to: A, C? Give the letter and briefly justify using endpoint distance and bearing difference.",A; projected endpoint is closest to A (378.6 map units away; bearing difference 90.3 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.43,""distance_unit"":""abstract map units"",""generation_attempt"":2,""has_path"":true,""num_landmarks"":3,""path_bearing"":332.92469456,""path_end"":""B"",""path_start"":""C"",""seed"":12}"
Image Description,compass_bearing_0013.png,How many landmarks are shown on this map?,4,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.65,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":38.56934131,""path_end"":""B"",""path_start"":""A"",""seed"":13}"
Basic Relational Reasoning,compass_bearing_0013.png,"Is landmark C located north or south of landmark B? Answer 'north', 'south', or 'same latitude'.",north,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.65,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":38.56934131,""path_end"":""B"",""path_start"":""A"",""seed"":13}"
Comparative Reasoning,compass_bearing_0013.png,"What is the compass bearing from landmark C to landmark A, rounded to the nearest 10 degrees? Answer with a three-digit number in curly brackets, e.g. {045}.",170,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.65,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":38.56934131,""path_end"":""B"",""path_start"":""A"",""seed"":13}"
Compound Reasoning,compass_bearing_0013.png,"If you are standing at landmark D facing landmark B, and then turn to face landmark A instead, how many degrees would you need to turn, and in which direction? Round the angle to the nearest degree and answer with the amount plus 'clockwise' or 'counterclockwise'.",62 degrees clockwise,"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.65,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":38.56934131,""path_end"":""B"",""path_start"":""A"",""seed"":13}"
Extrapolative/Counterfactual Reasoning,compass_bearing_0013.png,"If you traveled from landmark D along a bearing of 076 degrees for the same distance as D-to-C, which of these landmarks would the projected endpoint be closest to: A, B, C? Give the letter and briefly justify using endpoint distance and bearing difference.",B; projected endpoint is closest to B (135.5 map units away; bearing difference 13.4 degrees),"{""dataset_version"":""compass-bearing-2.0.0"",""difficulty_score"":0.65,""distance_unit"":""abstract map units"",""generation_attempt"":0,""has_path"":true,""num_landmarks"":4,""path_bearing"":38.56934131,""path_end"":""B"",""path_start"":""A"",""seed"":13}"
