question_id,image,acceptance_set,tolerances,targets,hole_directions
hex_pathfinding_0047_open_q1,hex_pathfinding_0047.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0048_open_q1,hex_pathfinding_0048.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0049_open_q1,hex_pathfinding_0049.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0050_open_q1,hex_pathfinding_0050.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0051_open_q1,hex_pathfinding_0051.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0052_open_q1,hex_pathfinding_0052.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0053_open_q1,hex_pathfinding_0053.png,"[""hole_directions=[\""upper-right\"",\""left\""]""]",{},"[""HOME""]","[""upper-right"",""left""]"
hex_pathfinding_0054_open_q1,hex_pathfinding_0054.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0055_open_q1,hex_pathfinding_0055.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0056_open_q1,hex_pathfinding_0056.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0057_open_q1,hex_pathfinding_0057.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0058_open_q1,hex_pathfinding_0058.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0059_open_q1,hex_pathfinding_0059.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0060_open_q1,hex_pathfinding_0060.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0061_open_q1,hex_pathfinding_0061.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0062_open_q1,hex_pathfinding_0062.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0063_open_q1,hex_pathfinding_0063.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0064_open_q1,hex_pathfinding_0064.png,"[""hole_directions=[\""lower-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""lower-left"",""lower-right""]"
hex_pathfinding_0065_open_q1,hex_pathfinding_0065.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0066_open_q1,hex_pathfinding_0066.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0067_open_q1,hex_pathfinding_0067.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0068_open_q1,hex_pathfinding_0068.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0069_open_q1,hex_pathfinding_0069.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0070_open_q1,hex_pathfinding_0070.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0071_open_q1,hex_pathfinding_0071.png,"[""hole_directions=[\""upper-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-left"",""lower-right""]"
hex_pathfinding_0072_open_q1,hex_pathfinding_0072.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0073_open_q1,hex_pathfinding_0073.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0074_open_q1,hex_pathfinding_0074.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0075_open_q1,hex_pathfinding_0075.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0076_open_q1,hex_pathfinding_0076.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0077_open_q1,hex_pathfinding_0077.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0078_open_q1,hex_pathfinding_0078.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0079_open_q1,hex_pathfinding_0079.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0080_open_q1,hex_pathfinding_0080.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0081_open_q1,hex_pathfinding_0081.png,"[""hole_directions=[\""right\"",\""lower-right\""]""]",{},"[""HOME""]","[""right"",""lower-right""]"
hex_pathfinding_0082_open_q1,hex_pathfinding_0082.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0083_open_q1,hex_pathfinding_0083.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0084_open_q1,hex_pathfinding_0084.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0085_open_q1,hex_pathfinding_0085.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0086_open_q1,hex_pathfinding_0086.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0087_open_q1,hex_pathfinding_0087.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0088_open_q1,hex_pathfinding_0088.png,"[""hole_directions=[\""lower-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""lower-left"",""lower-right""]"
hex_pathfinding_0089_open_q1,hex_pathfinding_0089.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0090_open_q1,hex_pathfinding_0090.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0091_open_q1,hex_pathfinding_0091.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0092_open_q1,hex_pathfinding_0092.png,"[""hole_directions=[\""left\"",\""lower-right\""]""]",{},"[""HOME""]","[""left"",""lower-right""]"
hex_pathfinding_0093_open_q1,hex_pathfinding_0093.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0094_open_q1,hex_pathfinding_0094.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0095_open_q1,hex_pathfinding_0095.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0096_open_q1,hex_pathfinding_0096.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0097_open_q1,hex_pathfinding_0097.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0098_open_q1,hex_pathfinding_0098.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0099_open_q1,hex_pathfinding_0099.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0100_open_q1,hex_pathfinding_0100.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0101_open_q1,hex_pathfinding_0101.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0102_open_q1,hex_pathfinding_0102.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0103_open_q1,hex_pathfinding_0103.png,"[""hole_directions=[\""right\"",\""lower-left\""]""]",{},"[""HOME""]","[""right"",""lower-left""]"
hex_pathfinding_0104_open_q1,hex_pathfinding_0104.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0105_open_q1,hex_pathfinding_0105.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0106_open_q1,hex_pathfinding_0106.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0107_open_q1,hex_pathfinding_0107.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0108_open_q1,hex_pathfinding_0108.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0109_open_q1,hex_pathfinding_0109.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0110_open_q1,hex_pathfinding_0110.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0111_open_q1,hex_pathfinding_0111.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0112_open_q1,hex_pathfinding_0112.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0113_open_q1,hex_pathfinding_0113.png,"[""hole_directions=[\""upper-left\"",\""lower-left\""]""]",{},"[""HOME""]","[""upper-left"",""lower-left""]"
hex_pathfinding_0114_open_q1,hex_pathfinding_0114.png,"[""hole_directions=[\""right\"",\""lower-left\""]""]",{},"[""HOME""]","[""right"",""lower-left""]"
hex_pathfinding_0115_open_q1,hex_pathfinding_0115.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0116_open_q1,hex_pathfinding_0116.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0117_open_q1,hex_pathfinding_0117.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0118_open_q1,hex_pathfinding_0118.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0119_open_q1,hex_pathfinding_0119.png,"[""hole_directions=[\""upper-right\"",\""lower-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-right"",""lower-left"",""lower-right""]"
hex_pathfinding_0120_open_q1,hex_pathfinding_0120.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0121_open_q1,hex_pathfinding_0121.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0122_open_q1,hex_pathfinding_0122.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0123_open_q1,hex_pathfinding_0123.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0124_open_q1,hex_pathfinding_0124.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0125_open_q1,hex_pathfinding_0125.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0126_open_q1,hex_pathfinding_0126.png,"[""hole_directions=[\""upper-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-left"",""lower-right""]"
hex_pathfinding_0127_open_q1,hex_pathfinding_0127.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0128_open_q1,hex_pathfinding_0128.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0129_open_q1,hex_pathfinding_0129.png,"[""hole_directions=[\""left\"",\""lower-left\""]""]",{},"[""HOME""]","[""left"",""lower-left""]"
hex_pathfinding_0130_open_q1,hex_pathfinding_0130.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0131_open_q1,hex_pathfinding_0131.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0132_open_q1,hex_pathfinding_0132.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0133_open_q1,hex_pathfinding_0133.png,"[""hole_directions=[\""left\"",\""lower-right\""]""]",{},"[""HOME""]","[""left"",""lower-right""]"
hex_pathfinding_0134_open_q1,hex_pathfinding_0134.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0135_open_q1,hex_pathfinding_0135.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0136_open_q1,hex_pathfinding_0136.png,"[""hole_directions=[\""upper-left\"",\""right\""]""]",{},"[""HOME""]","[""upper-left"",""right""]"
hex_pathfinding_0137_open_q1,hex_pathfinding_0137.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0138_open_q1,hex_pathfinding_0138.png,"[""hole_directions=[\""upper-right\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-right"",""lower-right""]"
hex_pathfinding_0139_open_q1,hex_pathfinding_0139.png,"[""hole_directions=[\""upper-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-left"",""lower-right""]"
hex_pathfinding_0140_open_q1,hex_pathfinding_0140.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0141_open_q1,hex_pathfinding_0141.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0142_open_q1,hex_pathfinding_0142.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0143_open_q1,hex_pathfinding_0143.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0144_open_q1,hex_pathfinding_0144.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0145_open_q1,hex_pathfinding_0145.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0146_open_q1,hex_pathfinding_0146.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0147_open_q1,hex_pathfinding_0147.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0148_open_q1,hex_pathfinding_0148.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0149_open_q1,hex_pathfinding_0149.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0150_open_q1,hex_pathfinding_0150.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0151_open_q1,hex_pathfinding_0151.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0152_open_q1,hex_pathfinding_0152.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0153_open_q1,hex_pathfinding_0153.png,"[""hole_directions=[\""upper-left\"",\""right\""]""]",{},"[""HOME""]","[""upper-left"",""right""]"
hex_pathfinding_0154_open_q1,hex_pathfinding_0154.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0155_open_q1,hex_pathfinding_0155.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0156_open_q1,hex_pathfinding_0156.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0157_open_q1,hex_pathfinding_0157.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0158_open_q1,hex_pathfinding_0158.png,"[""hole_directions=[\""left\"",\""lower-right\""]""]",{},"[""HOME""]","[""left"",""lower-right""]"
hex_pathfinding_0159_open_q1,hex_pathfinding_0159.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0160_open_q1,hex_pathfinding_0160.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0161_open_q1,hex_pathfinding_0161.png,"[""hole_directions=[\""upper-right\"",\""left\"",\""right\""]""]",{},"[""HOME""]","[""upper-right"",""left"",""right""]"
hex_pathfinding_0162_open_q1,hex_pathfinding_0162.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0163_open_q1,hex_pathfinding_0163.png,"[""hole_directions=[\""left\"",\""lower-right\""]""]",{},"[""HOME""]","[""left"",""lower-right""]"
hex_pathfinding_0164_open_q1,hex_pathfinding_0164.png,"[""hole_directions=[\""upper-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-left"",""lower-right""]"
hex_pathfinding_0165_open_q1,hex_pathfinding_0165.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0166_open_q1,hex_pathfinding_0166.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0167_open_q1,hex_pathfinding_0167.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0168_open_q1,hex_pathfinding_0168.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0169_open_q1,hex_pathfinding_0169.png,"[""hole_directions=[\""upper-left\"",\""left\""]""]",{},"[""HOME""]","[""upper-left"",""left""]"
hex_pathfinding_0170_open_q1,hex_pathfinding_0170.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0171_open_q1,hex_pathfinding_0171.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0172_open_q1,hex_pathfinding_0172.png,"[""hole_directions=[\""upper-right\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-right"",""lower-right""]"
hex_pathfinding_0173_open_q1,hex_pathfinding_0173.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0174_open_q1,hex_pathfinding_0174.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0175_open_q1,hex_pathfinding_0175.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0176_open_q1,hex_pathfinding_0176.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0177_open_q1,hex_pathfinding_0177.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0178_open_q1,hex_pathfinding_0178.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0179_open_q1,hex_pathfinding_0179.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0180_open_q1,hex_pathfinding_0180.png,"[""hole_directions=[\""upper-right\""]""]",{},"[""HOME""]","[""upper-right""]"
hex_pathfinding_0181_open_q1,hex_pathfinding_0181.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0182_open_q1,hex_pathfinding_0182.png,"[""hole_directions=[\""upper-left\"",\""lower-right\""]""]",{},"[""HOME""]","[""upper-left"",""lower-right""]"
hex_pathfinding_0183_open_q1,hex_pathfinding_0183.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0184_open_q1,hex_pathfinding_0184.png,"[""hole_directions=[\""right\""]""]",{},"[""HOME""]","[""right""]"
hex_pathfinding_0185_open_q1,hex_pathfinding_0185.png,"[""hole_directions=[\""left\""]""]",{},"[""HOME""]","[""left""]"
hex_pathfinding_0186_open_q1,hex_pathfinding_0186.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0187_open_q1,hex_pathfinding_0187.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0188_open_q1,hex_pathfinding_0188.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0189_open_q1,hex_pathfinding_0189.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0190_open_q1,hex_pathfinding_0190.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0191_open_q1,hex_pathfinding_0191.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0192_open_q1,hex_pathfinding_0192.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0193_open_q1,hex_pathfinding_0193.png,"[""hole_directions=[\""upper-right\"",\""right\""]""]",{},"[""HOME""]","[""upper-right"",""right""]"
hex_pathfinding_0194_open_q1,hex_pathfinding_0194.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0195_open_q1,hex_pathfinding_0195.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0196_open_q1,hex_pathfinding_0196.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0197_open_q1,hex_pathfinding_0197.png,"[""hole_directions=[\""lower-right\""]""]",{},"[""HOME""]","[""lower-right""]"
hex_pathfinding_0198_open_q1,hex_pathfinding_0198.png,"[""hole_directions=[\""lower-left\""]""]",{},"[""HOME""]","[""lower-left""]"
hex_pathfinding_0199_open_q1,hex_pathfinding_0199.png,"[""hole_directions=[\""upper-left\"",\""upper-right\""]""]",{},"[""HOME""]","[""upper-left"",""upper-right""]"
hex_pathfinding_0200_open_q1,hex_pathfinding_0200.png,"[""hole_directions=[\""upper-left\""]""]",{},"[""HOME""]","[""upper-left""]"
hex_pathfinding_0201_open_q1,hex_pathfinding_0201.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
hex_pathfinding_0202_open_q1,hex_pathfinding_0202.png,"[""hole_directions=[]""]",{},"[""HOME""]",[]
