task,image,prompt,groundtruth,metadata
Comparative Reasoning,shadow_inference_0004.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,low,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":279,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":46.6515,""light_elevation_degrees"":40.0796,""num_objects"":1,""seed"":4}"
Compound Reasoning,shadow_inference_0004.png,"Estimate the light source's approximate elevation angle above the horizon, rounded to the nearest 15 degrees.",45,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":279,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":46.6515,""light_elevation_degrees"":40.0796,""num_objects"":1,""seed"":4}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0004.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":279,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":46.6515,""light_elevation_degrees"":40.0796,""num_objects"":1,""seed"":4}"
Image Description,shadow_inference_0005.png,How many objects are casting a shadow in this image?,3,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.67,""ground_y"":288,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":124.0348,""light_elevation_degrees"":58.7979,""num_objects"":3,""seed"":5}"
Basic Relational Reasoning,shadow_inference_0005.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",right,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.67,""ground_y"":288,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":124.0348,""light_elevation_degrees"":58.7979,""num_objects"":3,""seed"":5}"
Comparative Reasoning,shadow_inference_0005.png,Which object casts the LONGEST shadow? Answer with that object's color.,blue,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.67,""ground_y"":288,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":124.0348,""light_elevation_degrees"":58.7979,""num_objects"":3,""seed"":5}"
Compound Reasoning,shadow_inference_0005.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.67,""ground_y"":288,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":124.0348,""light_elevation_degrees"":58.7979,""num_objects"":3,""seed"":5}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0005.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.67,""ground_y"":288,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":124.0348,""light_elevation_degrees"":58.7979,""num_objects"":3,""seed"":5}"
Image Description,shadow_inference_0006.png,How many objects are casting a shadow in this image?,2,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":305,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":40.0452,""light_elevation_degrees"":53.1409,""num_objects"":2,""seed"":6}"
Basic Relational Reasoning,shadow_inference_0006.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",front,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":305,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":40.0452,""light_elevation_degrees"":53.1409,""num_objects"":2,""seed"":6}"
Comparative Reasoning,shadow_inference_0006.png,Which object casts the LONGEST shadow? Answer with that object's color.,teal,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":305,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":40.0452,""light_elevation_degrees"":53.1409,""num_objects"":2,""seed"":6}"
Compound Reasoning,shadow_inference_0006.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":305,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":40.0452,""light_elevation_degrees"":53.1409,""num_objects"":2,""seed"":6}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0006.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.36,""ground_y"":305,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":40.0452,""light_elevation_degrees"":53.1409,""num_objects"":2,""seed"":6}"
Image Description,shadow_inference_0007.png,How many objects are casting a shadow in this image?,2,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":276,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":278.2788,""light_elevation_degrees"":65.4852,""num_objects"":2,""seed"":7}"
Basic Relational Reasoning,shadow_inference_0007.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":276,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":278.2788,""light_elevation_degrees"":65.4852,""num_objects"":2,""seed"":7}"
Comparative Reasoning,shadow_inference_0007.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,high,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":276,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":278.2788,""light_elevation_degrees"":65.4852,""num_objects"":2,""seed"":7}"
Compound Reasoning,shadow_inference_0007.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,orange,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":276,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":278.2788,""light_elevation_degrees"":65.4852,""num_objects"":2,""seed"":7}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0007.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":276,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":278.2788,""light_elevation_degrees"":65.4852,""num_objects"":2,""seed"":7}"
Image Description,shadow_inference_0008.png,How many objects are casting a shadow in this image?,2,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":298,""has_inconsistent_shadow"":true,""inconsistent_object_index"":1,""light_azimuth_degrees"":53.6843,""light_elevation_degrees"":60.5632,""num_objects"":2,""seed"":8}"
Basic Relational Reasoning,shadow_inference_0008.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":298,""has_inconsistent_shadow"":true,""inconsistent_object_index"":1,""light_azimuth_degrees"":53.6843,""light_elevation_degrees"":60.5632,""num_objects"":2,""seed"":8}"
Comparative Reasoning,shadow_inference_0008.png,Which object casts the LONGEST shadow? Answer with that object's color.,purple,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":298,""has_inconsistent_shadow"":true,""inconsistent_object_index"":1,""light_azimuth_degrees"":53.6843,""light_elevation_degrees"":60.5632,""num_objects"":2,""seed"":8}"
Compound Reasoning,shadow_inference_0008.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,purple,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":298,""has_inconsistent_shadow"":true,""inconsistent_object_index"":1,""light_azimuth_degrees"":53.6843,""light_elevation_degrees"":60.5632,""num_objects"":2,""seed"":8}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0008.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":298,""has_inconsistent_shadow"":true,""inconsistent_object_index"":1,""light_azimuth_degrees"":53.6843,""light_elevation_degrees"":60.5632,""num_objects"":2,""seed"":8}"
Image Description,shadow_inference_0009.png,How many objects are casting a shadow in this image?,2,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":299,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":270.2782,""light_elevation_degrees"":64.9149,""num_objects"":2,""seed"":9}"
Basic Relational Reasoning,shadow_inference_0009.png,Do all objects in this image appear to be lit by the same light source? Answer yes or no.,no,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":299,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":270.2782,""light_elevation_degrees"":64.9149,""num_objects"":2,""seed"":9}"
Comparative Reasoning,shadow_inference_0009.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,high,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":299,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":270.2782,""light_elevation_degrees"":64.9149,""num_objects"":2,""seed"":9}"
Compound Reasoning,shadow_inference_0009.png,Which object's shadow does NOT match the lighting direction of the others? Answer with that object's color.,blue,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":299,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":270.2782,""light_elevation_degrees"":64.9149,""num_objects"":2,""seed"":9}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0009.png,"If the light elevation increased by 20 degrees while remaining below 90 degrees and all object geometry stayed fixed, would each shadow become longer, shorter, or unchanged?",shorter,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.7,""ground_y"":299,""has_inconsistent_shadow"":true,""inconsistent_object_index"":0,""light_azimuth_degrees"":270.2782,""light_elevation_degrees"":64.9149,""num_objects"":2,""seed"":9}"
Image Description,shadow_inference_0010.png,How many objects are casting a shadow in this image?,1,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":272,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":301.3321,""light_elevation_degrees"":61.1794,""num_objects"":1,""seed"":10}"
Basic Relational Reasoning,shadow_inference_0010.png,"From which general direction is the light coming — left, right, front, or back? Answer with one word.",left,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":272,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":301.3321,""light_elevation_degrees"":61.1794,""num_objects"":1,""seed"":10}"
Comparative Reasoning,shadow_inference_0010.png,Is the light source high in the sky (steep angle) or low near the horizon (shallow angle)? Answer 'high' or 'low'.,high,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":272,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":301.3321,""light_elevation_degrees"":61.1794,""num_objects"":1,""seed"":10}"
Compound Reasoning,shadow_inference_0010.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":272,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":301.3321,""light_elevation_degrees"":61.1794,""num_objects"":1,""seed"":10}"
Extrapolative/Counterfactual Reasoning,shadow_inference_0010.png,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?",same,"{""azimuth_convention"":""0=front, 90=right, 180=back, 270=left; shadow projects away from light"",""azimuth_exclusion_degrees"":30.0,""coordinate_frame"":""screen_x_right_screen_y_down"",""dataset_version"":""shadow-inference-2.0.0"",""difficulty_score"":0.2,""ground_y"":272,""has_inconsistent_shadow"":false,""inconsistent_object_index"":null,""light_azimuth_degrees"":301.3321,""light_elevation_degrees"":61.1794,""num_objects"":1,""seed"":10}"
