model,domain,level,row_id,ground_truth,response,prompt
claude_opus_5,gear_train,2,gear_train:gear_train_1629_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1689_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1815_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1835_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1908_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1910_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1950_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1954_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1956_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1957_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_1983_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2018_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2019_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2043_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2066_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2242_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2252_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2370_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2412_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2444_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2659_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2666_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2740_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2767_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2776_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2888_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,gear_train,2,gear_train:gear_train_2962_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
claude_opus_5,orthographic,4,orthographic:orthographic_0339_q4,unique,not unique,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.
claude_opus_5,orthographic,4,orthographic:orthographic_0807_q4,unique,not unique,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.
claude_opus_5,orthographic,4,orthographic:orthographic_0824_q4,unique,not unique,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'."
claude_opus_5,orthographic,4,orthographic:orthographic_1067_q4,unique,not unique,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.
claude_opus_5,orthographic,4,orthographic:orthographic_1307_q4,unique,not unique,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'."
claude_opus_5,orthographic,4,orthographic:orthographic_1955_q4,unique,not unique,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'."
claude_opus_5,orthographic,4,orthographic:orthographic_2079_q4,unique,not unique,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'."
claude_opus_5,orthographic,4,orthographic:orthographic_2237_q4,unique,not unique,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.
claude_opus_5,orthographic,4,orthographic:orthographic_2324_q4,unique,not unique,"Do these three views uniquely determine the gravity-supported 3D structure, or could a different arrangement of cubes produce the exact same three views? Answer 'unique' or 'not unique'."
claude_opus_5,orthographic,4,orthographic:orthographic_2867_q4,unique,not unique,Do the three orthographic views uniquely determine the shown voxel structure within the stated scope? Answer 'unique' or 'not unique'.
claude_opus_5,shadow_inference,5,shadow_inference:shadow_inference_1776_q5,same,stay the same,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?"
claude_opus_5,shadow_inference,5,shadow_inference:shadow_inference_2492_q5,same,stay the same,"If the light source moved to the exact opposite direction (180 degrees azimuth rotation), would the shadows lengthen, shorten, or stay the same length?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_0041_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_0145_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_0809_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_0819_q4,rotated,rotated at a different angle,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_1211_q4,rotated,rotated at a different angle,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_1345_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2041_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2211_q4,rotated,rotated at a different angle,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2233_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2347_q4,rotated,rotated at a different angle,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2473_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2585_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2633_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_opus_5,symmetry_pattern,4,symmetry_pattern:symmetry_pattern_2833_q4,filled,filled instead of outlined,"In what way does the odd shape differ — filled instead of outlined, rotated at a different angle, shifted out of position, or a different size?"
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_0291_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_0294_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_0669_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,5,angle_estimation:angle_estimation_0813_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_sonnet_5,angle_estimation,5,angle_estimation:angle_estimation_0895_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_0910_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,5,angle_estimation:angle_estimation_1271_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_1670_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_1910_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,5,angle_estimation:angle_estimation_1910_q5,larger,larger than,"If the smaller shown angle were doubled, would it be larger than, equal to, or smaller than the other angle?"
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_1970_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_2413_q4,straight,straight angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,angle_estimation,4,angle_estimation:angle_estimation_2532_q4,right,right angle,"If Angle 1 and Angle 2 were added together, answer 'right angle' if the sum is within 15 degrees of 90°, 'straight angle' if it is within 15 degrees of 180°, otherwise answer 'neither'."
claude_sonnet_5,depth_height,2,depth_height:depth_height_0241_q2,teal,teal circle,Which object is closer to the camera: the orange triangle or the teal circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0265_q2,orange,orange circle,Which object is closer to the camera: the orange circle or the blue circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0295_q2,orange,orange square,Which object is closer to the camera: the orange square or the blue circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0427_q2,orange,orange square,Which object is closer to the camera: the blue circle or the orange square?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0439_q2,orange,orange circle,Which object is closer to the camera: the purple triangle or the orange circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0467_q2,teal,teal circle,Which object is closer to the camera: the purple circle or the teal circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0701_q2,purple,purple circle,Which object is closer to the camera: the purple circle or the orange square?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0721_q2,orange,orange triangle,Which object is closer to the camera: the magenta circle or the orange triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0909_q2,magenta,magenta triangle,Which object is closer to the camera: the teal circle or the magenta triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0921_q2,magenta,magenta circle,Which object is closer to the camera: the magenta circle or the purple triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0975_q2,magenta,magenta circle,Which object is closer to the camera: the purple circle or the magenta circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_0991_q2,purple,purple triangle,Which object is closer to the camera: the teal circle or the purple triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1083_q2,orange,orange square,Which object is closer to the camera: the orange square or the purple triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1143_q2,purple,purple triangle,Which object is closer to the camera: the purple triangle or the blue triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1346_q2,blue,blue stack,Which stack is taller: the teal stack or the blue stack?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1505_q2,blue,blue triangle,Which object is closer to the camera: the blue triangle or the purple triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1511_q2,purple,purple circle,Which object is closer to the camera: the purple circle or the magenta triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1705_q2,blue,blue square,Which object is closer to the camera: the blue square or the teal triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1733_q2,blue,blue triangle,Which object is closer to the camera: the blue triangle or the purple square?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1739_q2,magenta,magenta circle,Which object is closer to the camera: the magenta circle or the orange circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1903_q2,orange,orange triangle,Which object is closer to the camera: the orange triangle or the magenta circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_1991_q2,teal,teal square,Which object is closer to the camera: the teal square or the blue triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2103_q2,orange,orange triangle,Which object is closer to the camera: the orange triangle or the purple triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2151_q2,teal,teal triangle,Which object is closer to the camera: the orange triangle or the teal triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2453_q2,blue,blue triangle,Which object is closer to the camera: the blue triangle or the teal triangle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2635_q2,purple,purple triangle,Which object is closer to the camera: the purple triangle or the teal circle?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2713_q2,teal,teal square,Which object is closer to the camera: the magenta triangle or the teal square?
claude_sonnet_5,depth_height,2,depth_height:depth_height_2925_q2,purple,purple square,Which object is closer to the camera: the purple square or the teal circle?
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0028_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0050_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0282_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0392_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0430_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0514_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_0999_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1323_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1399_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1431_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1620_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1708_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1720_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1728_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1804_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1916_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_1944_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_2024_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_2165_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_2412_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,embedded_figures,5,embedded_figures:embedded_figure_2549_q5,closed,closed polygon,"If you removed all distractor lines and kept only the target shape's edges, would the remaining figure be a closed polygon or an open/broken shape?"
claude_sonnet_5,gear_train,2,gear_train:gear_train_0015_q2,opposite,opposite direction,"Gear B directly meshes with gear A (the driver). Does gear B rotate in the same direction as the driver, or the opposite direction?"
