domain,level,answer_type,schema_id,required_components,numeric_tolerance,option_phrasing
depth_height,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
depth_height,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
depth_height,3,ORDERED_LIST,ordered_tokens,ordered color labels,none,none
depth_height,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
depth_height,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
embedded_figures,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
embedded_figures,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
embedded_figures,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
embedded_figures,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
embedded_figures,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fbd,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fbd,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fbd,3,TYPED_DICT,fbd_l3,magnitude_ranking; shown_vertical_forces_balanced; physical_equilibrium,none,none
fbd,4,TYPED_DICT,fbd_l4,prompt-selected numeric fields; wrong-arrow fields when requested,none,none
fbd,5,TEMPLATED_SENTENCE,fbd_l5,yes/no or direction angle,none,none
fold_punch,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fold_punch,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fold_punch,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fold_punch,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
fold_punch,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gauge_reading,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gauge_reading,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gauge_reading,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gauge_reading,4,TEMPLATED_SENTENCE,gauge_l4,danger status; exceedance when yes,none,none
gauge_reading,5,TEMPLATED_SENTENCE,gauge_l5,yes/no; new value,none,none
gear_train,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gear_train,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gear_train,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gear_train,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
gear_train,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
hex_pathfinding,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
hex_pathfinding,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
hex_pathfinding,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
hex_pathfinding,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
hex_pathfinding,5,TEMPLATED_SENTENCE,hex_l5,path outcome; new length only when increased,none,none
impossible_object,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
impossible_object,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
impossible_object,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
impossible_object,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
impossible_object,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
laser_mirror,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
laser_mirror,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
laser_mirror,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
laser_mirror,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
laser_mirror,5,TEMPLATED_SENTENCE,laser_l5,changed status; edge and position when yes,none,none
line_intersection,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
line_intersection,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
line_intersection,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
line_intersection,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
line_intersection,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_hexagons,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_hexagons,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_hexagons,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_hexagons,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_hexagons,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_squares,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_squares,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_squares,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_squares,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_squares,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_triangles,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_triangles,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_triangles,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_triangles,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
nested_triangles,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
occluded_pattern,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
occluded_pattern,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
occluded_pattern,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
occluded_pattern,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
occluded_pattern,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
optical_illusion,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
optical_illusion,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
optical_illusion,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
optical_illusion,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
optical_illusion,5,TEMPLATED_SENTENCE,optical_l5,change status; actual relation,none,none
orthographic,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
orthographic,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
orthographic,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
orthographic,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
orthographic,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
overlap_circles,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
overlap_circles,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
overlap_circles,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
overlap_circles,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
overlap_circles,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
physical_stability,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
physical_stability,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
physical_stability,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
physical_stability,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
physical_stability,5,TEMPLATED_SENTENCE,physical_stability_l5,status; failing ordered joint when unstable,none,none
polyhedron,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
polyhedron,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
polyhedron,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
polyhedron,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
polyhedron,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
projectile_motion,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
projectile_motion,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
projectile_motion,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
projectile_motion,4,TYPED_DICT,projectile_l4,time_of_flight_s; range_m,none,none
projectile_motion,5,TEMPLATED_SENTENCE,projectile_l5,range change or obstacle outcome and value,none,none
rotation_matching,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rotation_matching,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rotation_matching,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rotation_matching,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rotation_matching,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
route,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
route,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
route,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
route,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
route,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rpm,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rpm,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rpm,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rpm,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
rpm,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
shadow_inference,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
shadow_inference,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
shadow_inference,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
shadow_inference,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
shadow_inference,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
surface_topology,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
surface_topology,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
surface_topology,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
surface_topology,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
surface_topology,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
symmetry_pattern,1,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
symmetry_pattern,2,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
symmetry_pattern,3,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
symmetry_pattern,4,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
symmetry_pattern,5,SCALAR,existing_exact,ground-truth scalar,none,question_verbatim
