question_id,image,acceptance_set,tolerances,targets,connectivity
route_puzzle_0033_open_q1,route_puzzle_0033.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""D\"",\""E\""],\""unreached_labels\"":[\""B\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""D"",""E""],""unreached_labels"":[""B"",""F""]}"
route_puzzle_0034_open_q1,route_puzzle_0034.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""E\""],\""unreached_labels\"":[\""C\"",\""D\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""E""],""unreached_labels"":[""C"",""D"",""F""]}"
route_puzzle_0038_open_q1,route_puzzle_0038.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""E\""],\""unreached_labels\"":[\""A\"",\""B\"",\""D\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""E""],""unreached_labels"":[""A"",""B"",""D""]}"
route_puzzle_0040_open_q1,route_puzzle_0040.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""B\""],\""unreached_labels\"":[\""C\"",\""D\"",\""E\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""B""],""unreached_labels"":[""C"",""D"",""E"",""F""]}"
route_puzzle_0042_open_q1,route_puzzle_0042.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""C\""],\""unreached_labels\"":[\""B\"",\""D\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""C""],""unreached_labels"":[""B"",""D"",""F""]}"
route_puzzle_0043_open_q1,route_puzzle_0043.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""B\"",\""E\"",\""B\"",\""B\""],\""unreached_labels\"":[\""A\"",\""C\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""B"",""E"",""B"",""B""],""unreached_labels"":[""A"",""C""]}"
route_puzzle_0044_open_q1,route_puzzle_0044.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""E\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""E""],""unreached_labels"":[""A"",""B"",""C""]}"
route_puzzle_0051_open_q1,route_puzzle_0051.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""F\"",\""D\""],\""unreached_labels\"":[\""B\"",\""C\"",\""E\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""F"",""D""],""unreached_labels"":[""B"",""C"",""E""]}"
route_puzzle_0052_open_q1,route_puzzle_0052.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""F\""],\""unreached_labels\"":[\""A\"",\""D\"",\""E\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""F""],""unreached_labels"":[""A"",""D"",""E""]}"
route_puzzle_0053_open_q1,route_puzzle_0053.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""D\"",\""A\""],\""unreached_labels\"":[\""B\"",\""F\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""D"",""A""],""unreached_labels"":[""B"",""F""]}"
route_puzzle_0054_open_q1,route_puzzle_0054.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""A\""],\""unreached_labels\"":[\""C\"",\""D\"",\""E\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""A""],""unreached_labels"":[""C"",""D"",""E"",""F""]}"
route_puzzle_0057_open_q1,route_puzzle_0057.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""F\"",\""E\""],\""unreached_labels\"":[\""A\"",\""C\"",\""D\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""F"",""E""],""unreached_labels"":[""A"",""C"",""D""]}"
route_puzzle_0059_open_q1,route_puzzle_0059.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""A\""],\""unreached_labels\"":[\""D\"",\""E\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""A""],""unreached_labels"":[""D"",""E"",""F""]}"
route_puzzle_0060_open_q1,route_puzzle_0060.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""E\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\"",\""D\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""E""],""unreached_labels"":[""A"",""B"",""C"",""D""]}"
route_puzzle_0061_open_q1,route_puzzle_0061.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""D\"",\""D\""],\""unreached_labels\"":[\""A\"",\""C\"",\""E\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""D"",""D""],""unreached_labels"":[""A"",""C"",""E""]}"
route_puzzle_0064_open_q1,route_puzzle_0064.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""B\""],\""unreached_labels\"":[\""A\"",\""D\"",\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""B""],""unreached_labels"":[""A"",""D"",""E"",""F""]}"
route_puzzle_0070_open_q1,route_puzzle_0070.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\""],\""unreached_labels\"":[\""B\"",\""C\"",\""D\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A""],""unreached_labels"":[""B"",""C"",""D"",""E""]}"
route_puzzle_0071_open_q1,route_puzzle_0071.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""A\"",\""D\""],\""unreached_labels\"":[\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""A"",""D""],""unreached_labels"":[""E"",""F""]}"
route_puzzle_0073_open_q1,route_puzzle_0073.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""B\"",\""F\""],\""unreached_labels\"":[\""C\"",\""E\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""B"",""F""],""unreached_labels"":[""C"",""E""]}"
route_puzzle_0080_open_q1,route_puzzle_0080.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""C\"",\""B\""],\""unreached_labels\"":[\""A\"",\""F\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""C"",""B""],""unreached_labels"":[""A"",""F""]}"
route_puzzle_0082_open_q1,route_puzzle_0082.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""C\"",\""A\""],\""unreached_labels\"":[\""B\"",\""E\"",\""F\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""C"",""A""],""unreached_labels"":[""B"",""E"",""F""]}"
route_puzzle_0087_open_q1,route_puzzle_0087.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""C\""],\""unreached_labels\"":[\""A\"",\""D\"",\""E\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""C""],""unreached_labels"":[""A"",""D"",""E""]}"
route_puzzle_0092_open_q1,route_puzzle_0092.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""A\"",\""B\""],\""unreached_labels\"":[\""C\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""A"",""B""],""unreached_labels"":[""C"",""E""]}"
route_puzzle_0093_open_q1,route_puzzle_0093.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""E\"",\""F\""],\""unreached_labels\"":[\""A\"",\""B\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""E"",""F""],""unreached_labels"":[""A"",""B""]}"
route_puzzle_0095_open_q1,route_puzzle_0095.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""C\"",\""E\""],\""unreached_labels\"":[\""A\"",\""B\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""C"",""E""],""unreached_labels"":[""A"",""B""]}"
route_puzzle_0096_open_q1,route_puzzle_0096.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""B\"",\""A\""],\""unreached_labels\"":[\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""B"",""A""],""unreached_labels"":[""E"",""F""]}"
route_puzzle_0101_open_q1,route_puzzle_0101.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""D\"",\""D\""],\""unreached_labels\"":[\""A\"",\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""D"",""D""],""unreached_labels"":[""A"",""E"",""F""]}"
route_puzzle_0103_open_q1,route_puzzle_0103.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""D\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""D""],""unreached_labels"":[""A"",""B"",""C""]}"
route_puzzle_0104_open_q1,route_puzzle_0104.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""A\""],\""unreached_labels\"":[\""B\"",\""C\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""A""],""unreached_labels"":[""B"",""C"",""E""]}"
route_puzzle_0105_open_q1,route_puzzle_0105.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""E\""],\""unreached_labels\"":[\""B\"",\""D\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""E""],""unreached_labels"":[""B"",""D"",""F""]}"
route_puzzle_0106_open_q1,route_puzzle_0106.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""F\""],\""unreached_labels\"":[\""B\"",\""D\"",\""E\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""F""],""unreached_labels"":[""B"",""D"",""E""]}"
route_puzzle_0107_open_q1,route_puzzle_0107.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""F\""],\""unreached_labels\"":[\""A\"",\""C\"",\""D\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""F""],""unreached_labels"":[""A"",""C"",""D""]}"
route_puzzle_0108_open_q1,route_puzzle_0108.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""F\"",\""A\""],\""unreached_labels\"":[\""B\"",\""C\"",\""E\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""F"",""A""],""unreached_labels"":[""B"",""C"",""E""]}"
route_puzzle_0112_open_q1,route_puzzle_0112.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""F\""],\""unreached_labels\"":[\""A\"",\""C\"",\""D\"",\""E\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""F""],""unreached_labels"":[""A"",""C"",""D"",""E""]}"
route_puzzle_0119_open_q1,route_puzzle_0119.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""F\"",\""F\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\"",\""D\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""F"",""F""],""unreached_labels"":[""A"",""B"",""C"",""D""]}"
route_puzzle_0121_open_q1,route_puzzle_0121.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""D\"",\""B\""],\""unreached_labels\"":[\""E\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""D"",""B""],""unreached_labels"":[""E"",""F""]}"
route_puzzle_0122_open_q1,route_puzzle_0122.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""D\""],\""unreached_labels\"":[\""A\"",\""C\"",\""E\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""D""],""unreached_labels"":[""A"",""C"",""E""]}"
route_puzzle_0125_open_q1,route_puzzle_0125.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""D\"",\""A\""],\""unreached_labels\"":[\""C\"",\""E\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""D"",""A""],""unreached_labels"":[""C"",""E"",""F""]}"
route_puzzle_0126_open_q1,route_puzzle_0126.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""B\""],\""unreached_labels\"":[\""A\"",\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""B""],""unreached_labels"":[""A"",""E"",""F""]}"
route_puzzle_0127_open_q1,route_puzzle_0127.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""A\"",\""C\""],\""unreached_labels\"":[\""B\"",\""E\"",\""F\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""A"",""C""],""unreached_labels"":[""B"",""E"",""F""]}"
route_puzzle_0128_open_q1,route_puzzle_0128.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""F\"",\""D\""],\""unreached_labels\"":[\""B\"",\""E\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""F"",""D""],""unreached_labels"":[""B"",""E""]}"
route_puzzle_0131_open_q1,route_puzzle_0131.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""B\"",\""D\""],\""unreached_labels\"":[\""A\"",\""C\"",\""F\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""B"",""D""],""unreached_labels"":[""A"",""C"",""F""]}"
route_puzzle_0136_open_q1,route_puzzle_0136.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""D\""],\""unreached_labels\"":[\""A\"",\""B\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""D""],""unreached_labels"":[""A"",""B"",""F""]}"
route_puzzle_0139_open_q1,route_puzzle_0139.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""A\""],\""unreached_labels\"":[\""C\"",\""D\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""A""],""unreached_labels"":[""C"",""D"",""F""]}"
route_puzzle_0141_open_q1,route_puzzle_0141.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""C\"",\""E\""],\""unreached_labels\"":[\""A\"",\""D\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""C"",""E""],""unreached_labels"":[""A"",""D""]}"
route_puzzle_0146_open_q1,route_puzzle_0146.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""D\"",\""E\""],\""unreached_labels\"":[\""A\"",\""F\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""D"",""E""],""unreached_labels"":[""A"",""F""]}"
route_puzzle_0148_open_q1,route_puzzle_0148.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""C\"",\""C\""],\""unreached_labels\"":[\""B\"",\""D\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""C"",""C""],""unreached_labels"":[""B"",""D"",""F""]}"
route_puzzle_0155_open_q1,route_puzzle_0155.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""A\"",\""E\""],\""unreached_labels\"":[\""C\"",\""D\""]}""]",{},"[""B""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""A"",""E""],""unreached_labels"":[""C"",""D""]}"
route_puzzle_0156_open_q1,route_puzzle_0156.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""B\"",\""D\"",\""C\""],\""unreached_labels\"":[\""A\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""B"",""D"",""C""],""unreached_labels"":[""A"",""E""]}"
route_puzzle_0159_open_q1,route_puzzle_0159.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""F\"",\""B\""],\""unreached_labels\"":[\""C\"",\""D\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""F"",""B""],""unreached_labels"":[""C"",""D""]}"
route_puzzle_0161_open_q1,route_puzzle_0161.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""A\"",\""C\""],\""unreached_labels\"":[\""B\"",\""F\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""A"",""C""],""unreached_labels"":[""B"",""F""]}"
route_puzzle_0162_open_q1,route_puzzle_0162.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""A\"",\""B\""],\""unreached_labels\"":[\""C\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""A"",""B""],""unreached_labels"":[""C"",""E""]}"
route_puzzle_0163_open_q1,route_puzzle_0163.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""E\""],\""unreached_labels\"":[\""B\"",\""C\"",\""D\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""E""],""unreached_labels"":[""B"",""C"",""D""]}"
route_puzzle_0165_open_q1,route_puzzle_0165.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""D\""],\""unreached_labels\"":[\""B\"",\""C\"",\""E\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""D""],""unreached_labels"":[""B"",""C"",""E"",""F""]}"
route_puzzle_0169_open_q1,route_puzzle_0169.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""C\""],\""unreached_labels\"":[\""B\"",\""D\"",\""E\""]}""]",{},"[""F""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""C""],""unreached_labels"":[""B"",""D"",""E""]}"
route_puzzle_0173_open_q1,route_puzzle_0173.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""D\"",\""B\"",\""A\""],\""unreached_labels\"":[\""E\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""D"",""B"",""A""],""unreached_labels"":[""E"",""F""]}"
route_puzzle_0180_open_q1,route_puzzle_0180.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""A\"",\""B\"",\""D\""],\""unreached_labels\"":[\""C\"",\""E\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""A"",""B"",""D""],""unreached_labels"":[""C"",""E"",""F""]}"
route_puzzle_0183_open_q1,route_puzzle_0183.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""C\"",\""A\""],\""unreached_labels\"":[\""B\"",\""D\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""C"",""A""],""unreached_labels"":[""B"",""D""]}"
route_puzzle_0186_open_q1,route_puzzle_0186.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""A\"",\""A\""],\""unreached_labels\"":[\""B\"",\""D\"",\""F\""]}""]",{},"[""C""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""A"",""A""],""unreached_labels"":[""B"",""D"",""F""]}"
route_puzzle_0187_open_q1,route_puzzle_0187.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""A\""],\""unreached_labels\"":[\""B\"",\""C\"",\""F\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""A""],""unreached_labels"":[""B"",""C"",""F""]}"
route_puzzle_0191_open_q1,route_puzzle_0191.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""C\"",\""C\"",\""C\""],\""unreached_labels\"":[\""B\"",\""D\"",\""E\"",\""F\""]}""]",{},"[""A""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""C"",""C"",""C""],""unreached_labels"":[""B"",""D"",""E"",""F""]}"
route_puzzle_0195_open_q1,route_puzzle_0195.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""F\"",\""A\""],\""unreached_labels\"":[\""B\"",\""C\"",\""D\""]}""]",{},"[""E""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""F"",""A""],""unreached_labels"":[""B"",""C"",""D""]}"
route_puzzle_0198_open_q1,route_puzzle_0198.png,"[""connectivity={\""connected_to_all_other_labels\"":\""no\"",\""far_end_labels\"":[\""E\"",\""E\""],\""unreached_labels\"":[\""A\"",\""B\"",\""C\"",\""F\""]}""]",{},"[""D""]","{""connected_to_all_other_labels"":""no"",""far_end_labels"":[""E"",""E""],""unreached_labels"":[""A"",""B"",""C"",""F""]}"
