task,image,prompt,groundtruth,metadata
Image Description,route_puzzle_0003.png,How many distinct colored routes are visible in this image?,7,"{""crossing_count"":23,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.3502,""line_width_px"":2.62,""num_endpoints"":6,""num_routes"":7,""seed"":3}"
Basic Relational Reasoning,route_puzzle_0003.png,Count the one-colored routes that go from B to F. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":23,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.3502,""line_width_px"":2.62,""num_endpoints"":6,""num_routes"":7,""seed"":3}"
Comparative Reasoning,route_puzzle_0003.png,Which two letters have the most routes directly connecting them?,DE,"{""crossing_count"":23,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.3502,""line_width_px"":2.62,""num_endpoints"":6,""num_routes"":7,""seed"":3}"
Compound Reasoning,route_puzzle_0003.png,"Among all letters, list them in order from most connected routes to least connected routes.","['D (degree 4)', 'E (degree 3—tie)', 'F (degree 3—tie)', 'A (degree 2—tie)', 'B (degree 2—tie)', 'C (degree 0)']","{""crossing_count"":23,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.3502,""line_width_px"":2.62,""num_endpoints"":6,""num_routes"":7,""seed"":3}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0003.png,"If one new route were added directly between C and A, what would the maximum endpoint degree become?",4,"{""crossing_count"":23,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.3502,""line_width_px"":2.62,""num_endpoints"":6,""num_routes"":7,""seed"":3}"
Image Description,route_puzzle_0004.png,How many labeled endpoints (letters) are shown in this image?,4,"{""crossing_count"":189,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6128,""line_width_px"":2.68,""num_endpoints"":4,""num_routes"":11,""seed"":4}"
Basic Relational Reasoning,route_puzzle_0004.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":189,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6128,""line_width_px"":2.68,""num_endpoints"":4,""num_routes"":11,""seed"":4}"
Comparative Reasoning,route_puzzle_0004.png,Which letter has the most routes connected to it?,B,"{""crossing_count"":189,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6128,""line_width_px"":2.68,""num_endpoints"":4,""num_routes"":11,""seed"":4}"
Compound Reasoning,route_puzzle_0004.png,List all letter-pairs that have exactly one connecting route between them.,['BD'],"{""crossing_count"":189,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6128,""line_width_px"":2.68,""num_endpoints"":4,""num_routes"":11,""seed"":4}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0004.png,"If one new route were added directly between D and A, what would the maximum endpoint degree become?",7,"{""crossing_count"":189,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6128,""line_width_px"":2.68,""num_endpoints"":4,""num_routes"":11,""seed"":4}"
Image Description,route_puzzle_0005.png,How many labeled endpoints (letters) are shown in this image?,6,"{""crossing_count"":202,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7666,""line_width_px"":2.69,""num_endpoints"":6,""num_routes"":12,""seed"":5}"
Basic Relational Reasoning,route_puzzle_0005.png,Count the one-colored routes that go from D to F. Answer with a number in curly brackets e.g. {1},0,"{""crossing_count"":202,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7666,""line_width_px"":2.69,""num_endpoints"":6,""num_routes"":12,""seed"":5}"
Comparative Reasoning,route_puzzle_0005.png,How many routes does letter E have in total (i.e. touching E)?,2,"{""crossing_count"":202,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7666,""line_width_px"":2.69,""num_endpoints"":6,""num_routes"":12,""seed"":5}"
Compound Reasoning,route_puzzle_0005.png,List all letter-pairs that have exactly one connecting route between them.,"['AF', 'BD', 'BE', 'CD', 'CF', 'DE']","{""crossing_count"":202,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7666,""line_width_px"":2.69,""num_endpoints"":6,""num_routes"":12,""seed"":5}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0005.png,"If one new route were added directly between C and E, what would the maximum endpoint degree become?",8,"{""crossing_count"":202,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7666,""line_width_px"":2.69,""num_endpoints"":6,""num_routes"":12,""seed"":5}"
Image Description,route_puzzle_0006.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":239,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7155,""line_width_px"":2.86,""num_endpoints"":5,""num_routes"":12,""seed"":6}"
Basic Relational Reasoning,route_puzzle_0006.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {1},0,"{""crossing_count"":239,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7155,""line_width_px"":2.86,""num_endpoints"":5,""num_routes"":12,""seed"":6}"
Comparative Reasoning,route_puzzle_0006.png,How many routes does letter D have in total (i.e. touching D)?,4,"{""crossing_count"":239,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7155,""line_width_px"":2.86,""num_endpoints"":5,""num_routes"":12,""seed"":6}"
Compound Reasoning,route_puzzle_0006.png,"Among all letters, list them in order from most connected routes to least connected routes.","['A (degree 6—tie)', 'C (degree 6—tie)', 'B (degree 4—tie)', 'D (degree 4—tie)', 'E (degree 4—tie)']","{""crossing_count"":239,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7155,""line_width_px"":2.86,""num_endpoints"":5,""num_routes"":12,""seed"":6}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0006.png,"If one new route were added directly between B and D, what would the maximum endpoint degree become?",6,"{""crossing_count"":239,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7155,""line_width_px"":2.86,""num_endpoints"":5,""num_routes"":12,""seed"":6}"
Image Description,route_puzzle_0007.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":133,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6599,""line_width_px"":2.53,""num_endpoints"":5,""num_routes"":11,""seed"":7}"
Basic Relational Reasoning,route_puzzle_0007.png,Count the one-colored routes that go from C to D. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":133,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6599,""line_width_px"":2.53,""num_endpoints"":5,""num_routes"":11,""seed"":7}"
Comparative Reasoning,route_puzzle_0007.png,Which two letters have the most routes directly connecting them?,AB,"{""crossing_count"":133,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6599,""line_width_px"":2.53,""num_endpoints"":5,""num_routes"":11,""seed"":7}"
Compound Reasoning,route_puzzle_0007.png,List all letter-pairs that have exactly one connecting route between them.,"['AD', 'AE', 'BE', 'CD', 'CE', 'DE']","{""crossing_count"":133,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6599,""line_width_px"":2.53,""num_endpoints"":5,""num_routes"":11,""seed"":7}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0007.png,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",7,"{""crossing_count"":133,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6599,""line_width_px"":2.53,""num_endpoints"":5,""num_routes"":11,""seed"":7}"
Image Description,route_puzzle_0008.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":111,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5523,""line_width_px"":2.82,""num_endpoints"":5,""num_routes"":7,""seed"":8}"
Basic Relational Reasoning,route_puzzle_0008.png,Count the one-colored routes that go from D to E. Answer with a number in curly brackets e.g. {1},3,"{""crossing_count"":111,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5523,""line_width_px"":2.82,""num_endpoints"":5,""num_routes"":7,""seed"":8}"
Comparative Reasoning,route_puzzle_0008.png,Which letter has the most routes connected to it?,D,"{""crossing_count"":111,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5523,""line_width_px"":2.82,""num_endpoints"":5,""num_routes"":7,""seed"":8}"
Compound Reasoning,route_puzzle_0008.png,List all letter-pairs that have exactly one connecting route between them.,"['AC', 'AD']","{""crossing_count"":111,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5523,""line_width_px"":2.82,""num_endpoints"":5,""num_routes"":7,""seed"":8}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0008.png,"If one new route were added directly between C and A, what would the maximum endpoint degree become?",6,"{""crossing_count"":111,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5523,""line_width_px"":2.82,""num_endpoints"":5,""num_routes"":7,""seed"":8}"
Image Description,route_puzzle_0009.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":75,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4953,""line_width_px"":2.97,""num_endpoints"":5,""num_routes"":7,""seed"":9}"
Basic Relational Reasoning,route_puzzle_0009.png,Count the one-colored routes that go from A to C. Answer with a number in curly brackets e.g. {1},0,"{""crossing_count"":75,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4953,""line_width_px"":2.97,""num_endpoints"":5,""num_routes"":7,""seed"":9}"
Comparative Reasoning,route_puzzle_0009.png,Which two letters have the most routes directly connecting them?,AB,"{""crossing_count"":75,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4953,""line_width_px"":2.97,""num_endpoints"":5,""num_routes"":7,""seed"":9}"
Compound Reasoning,route_puzzle_0009.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",CD,"{""crossing_count"":75,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4953,""line_width_px"":2.97,""num_endpoints"":5,""num_routes"":7,""seed"":9}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0009.png,"If one new route were added directly between C and D, what would the maximum endpoint degree become?",4,"{""crossing_count"":75,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4953,""line_width_px"":2.97,""num_endpoints"":5,""num_routes"":7,""seed"":9}"
Image Description,route_puzzle_0010.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":93,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5761,""line_width_px"":2.66,""num_endpoints"":5,""num_routes"":9,""seed"":10}"
Basic Relational Reasoning,route_puzzle_0010.png,Count the one-colored routes that go from B to E. Answer with a number in curly brackets e.g. {1},0,"{""crossing_count"":93,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5761,""line_width_px"":2.66,""num_endpoints"":5,""num_routes"":9,""seed"":10}"
Comparative Reasoning,route_puzzle_0010.png,Which letter has the most routes connected to it?,D,"{""crossing_count"":93,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5761,""line_width_px"":2.66,""num_endpoints"":5,""num_routes"":9,""seed"":10}"
Compound Reasoning,route_puzzle_0010.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",AB,"{""crossing_count"":93,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5761,""line_width_px"":2.66,""num_endpoints"":5,""num_routes"":9,""seed"":10}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0010.png,"If one new route were added directly between A and B, what would the maximum endpoint degree become?",5,"{""crossing_count"":93,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5761,""line_width_px"":2.66,""num_endpoints"":5,""num_routes"":9,""seed"":10}"
Image Description,route_puzzle_0011.png,How many labeled endpoints (letters) are shown in this image?,5,"{""crossing_count"":100,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5917,""line_width_px"":2.57,""num_endpoints"":5,""num_routes"":9,""seed"":11}"
Basic Relational Reasoning,route_puzzle_0011.png,Count the one-colored routes that go from A to E. Answer with a number in curly brackets e.g. {1},4,"{""crossing_count"":100,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5917,""line_width_px"":2.57,""num_endpoints"":5,""num_routes"":9,""seed"":11}"
Comparative Reasoning,route_puzzle_0011.png,How many routes does letter A have in total (i.e. touching A)?,5,"{""crossing_count"":100,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5917,""line_width_px"":2.57,""num_endpoints"":5,""num_routes"":9,""seed"":11}"
Compound Reasoning,route_puzzle_0011.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",CE,"{""crossing_count"":100,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5917,""line_width_px"":2.57,""num_endpoints"":5,""num_routes"":9,""seed"":11}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0011.png,"If one new route were added directly between C and B, what would the maximum endpoint degree become?",5,"{""crossing_count"":100,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5917,""line_width_px"":2.57,""num_endpoints"":5,""num_routes"":9,""seed"":11}"
Image Description,route_puzzle_0012.png,How many labeled endpoints (letters) are shown in this image?,6,"{""crossing_count"":71,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6939,""line_width_px"":2.61,""num_endpoints"":6,""num_routes"":10,""seed"":12}"
Basic Relational Reasoning,route_puzzle_0012.png,Count the one-colored routes that go from A to F. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":71,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6939,""line_width_px"":2.61,""num_endpoints"":6,""num_routes"":10,""seed"":12}"
Comparative Reasoning,route_puzzle_0012.png,Which letter has the most routes connected to it?,E,"{""crossing_count"":71,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6939,""line_width_px"":2.61,""num_endpoints"":6,""num_routes"":10,""seed"":12}"
Compound Reasoning,route_puzzle_0012.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",BF,"{""crossing_count"":71,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6939,""line_width_px"":2.61,""num_endpoints"":6,""num_routes"":10,""seed"":12}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0012.png,"If one new route were added directly between D and F, what would the maximum endpoint degree become?",5,"{""crossing_count"":71,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6939,""line_width_px"":2.61,""num_endpoints"":6,""num_routes"":10,""seed"":12}"
Image Description,route_puzzle_0013.png,How many distinct colored routes are visible in this image?,11,"{""crossing_count"":162,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7592,""line_width_px"":2.51,""num_endpoints"":6,""num_routes"":11,""seed"":13}"
Basic Relational Reasoning,route_puzzle_0013.png,Count the one-colored routes that go from B to C. Answer with a number in curly brackets e.g. {1},2,"{""crossing_count"":162,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7592,""line_width_px"":2.51,""num_endpoints"":6,""num_routes"":11,""seed"":13}"
Comparative Reasoning,route_puzzle_0013.png,Which letter has the most routes connected to it?,C,"{""crossing_count"":162,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7592,""line_width_px"":2.51,""num_endpoints"":6,""num_routes"":11,""seed"":13}"
Compound Reasoning,route_puzzle_0013.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",AE,"{""crossing_count"":162,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7592,""line_width_px"":2.51,""num_endpoints"":6,""num_routes"":11,""seed"":13}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0013.png,"If one new route were added directly between A and B, what would the maximum endpoint degree become?",6,"{""crossing_count"":162,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7592,""line_width_px"":2.51,""num_endpoints"":6,""num_routes"":11,""seed"":13}"
Image Description,route_puzzle_0014.png,How many labeled endpoints (letters) are shown in this image?,4,"{""crossing_count"":102,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4821,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":14}"
Basic Relational Reasoning,route_puzzle_0014.png,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":102,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4821,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":14}"
Comparative Reasoning,route_puzzle_0014.png,Which letter has the most routes connected to it?,A,"{""crossing_count"":102,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4821,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":14}"
Compound Reasoning,route_puzzle_0014.png,"Is there any letter-pair with zero directly connecting routes? If yes, name one such pair; if no, answer 'none'.",BD,"{""crossing_count"":102,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4821,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":14}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0014.png,"If one new route were added directly between D and B, what would the maximum endpoint degree become?",6,"{""crossing_count"":102,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.4821,""line_width_px"":2.95,""num_endpoints"":4,""num_routes"":8,""seed"":14}"
Image Description,route_puzzle_0015.png,How many labeled endpoints (letters) are shown in this image?,6,"{""crossing_count"":138,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.73,""line_width_px"":2.85,""num_endpoints"":6,""num_routes"":11,""seed"":15}"
Basic Relational Reasoning,route_puzzle_0015.png,Count the one-colored routes that go from E to F. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":138,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.73,""line_width_px"":2.85,""num_endpoints"":6,""num_routes"":11,""seed"":15}"
Comparative Reasoning,route_puzzle_0015.png,How many routes does letter B have in total (i.e. touching B)?,3,"{""crossing_count"":138,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.73,""line_width_px"":2.85,""num_endpoints"":6,""num_routes"":11,""seed"":15}"
Compound Reasoning,route_puzzle_0015.png,"Among all letters, list them in order from most connected routes to least connected routes.","['D (degree 5—tie)', 'F (degree 5—tie)', 'C (degree 4—tie)', 'E (degree 4—tie)', 'B (degree 3)', 'A (degree 1)']","{""crossing_count"":138,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.73,""line_width_px"":2.85,""num_endpoints"":6,""num_routes"":11,""seed"":15}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0015.png,"If one new route were added directly between A and B, what would the maximum endpoint degree become?",5,"{""crossing_count"":138,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.73,""line_width_px"":2.85,""num_endpoints"":6,""num_routes"":11,""seed"":15}"
Image Description,route_puzzle_0016.png,How many distinct colored routes are visible in this image?,8,"{""crossing_count"":69,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5576,""line_width_px"":2.61,""num_endpoints"":5,""num_routes"":8,""seed"":16}"
Basic Relational Reasoning,route_puzzle_0016.png,Count the one-colored routes that go from A to E. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":69,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5576,""line_width_px"":2.61,""num_endpoints"":5,""num_routes"":8,""seed"":16}"
Comparative Reasoning,route_puzzle_0016.png,Which letter has the most routes connected to it?,E,"{""crossing_count"":69,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5576,""line_width_px"":2.61,""num_endpoints"":5,""num_routes"":8,""seed"":16}"
Compound Reasoning,route_puzzle_0016.png,List all letter-pairs that have exactly one connecting route between them.,"['AE', 'BC', 'DE']","{""crossing_count"":69,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5576,""line_width_px"":2.61,""num_endpoints"":5,""num_routes"":8,""seed"":16}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0016.png,"If one new route were added directly between D and A, what would the maximum endpoint degree become?",5,"{""crossing_count"":69,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5576,""line_width_px"":2.61,""num_endpoints"":5,""num_routes"":8,""seed"":16}"
Image Description,route_puzzle_0017.png,How many distinct colored routes are visible in this image?,8,"{""crossing_count"":90,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5701,""line_width_px"":2.71,""num_endpoints"":5,""num_routes"":8,""seed"":17}"
Basic Relational Reasoning,route_puzzle_0017.png,Count the one-colored routes that go from A to D. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":90,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5701,""line_width_px"":2.71,""num_endpoints"":5,""num_routes"":8,""seed"":17}"
Comparative Reasoning,route_puzzle_0017.png,How many routes does letter B have in total (i.e. touching B)?,3,"{""crossing_count"":90,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5701,""line_width_px"":2.71,""num_endpoints"":5,""num_routes"":8,""seed"":17}"
Compound Reasoning,route_puzzle_0017.png,List all letter-pairs that have exactly one connecting route between them.,"['AB', 'AD', 'CD', 'DE']","{""crossing_count"":90,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5701,""line_width_px"":2.71,""num_endpoints"":5,""num_routes"":8,""seed"":17}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0017.png,"If one new route were added directly between B and C, what would the maximum endpoint degree become?",4,"{""crossing_count"":90,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5701,""line_width_px"":2.71,""num_endpoints"":5,""num_routes"":8,""seed"":17}"
Image Description,route_puzzle_0018.png,How many labeled endpoints (letters) are shown in this image?,6,"{""crossing_count"":74,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6944,""line_width_px"":2.6,""num_endpoints"":6,""num_routes"":9,""seed"":18}"
Basic Relational Reasoning,route_puzzle_0018.png,Count the one-colored routes that go from E to F. Answer with a number in curly brackets e.g. {1},1,"{""crossing_count"":74,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6944,""line_width_px"":2.6,""num_endpoints"":6,""num_routes"":9,""seed"":18}"
Comparative Reasoning,route_puzzle_0018.png,Which letter has the most routes connected to it?,B,"{""crossing_count"":74,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6944,""line_width_px"":2.6,""num_endpoints"":6,""num_routes"":9,""seed"":18}"
Compound Reasoning,route_puzzle_0018.png,List all letter-pairs that have exactly one connecting route between them.,"['BC', 'BD', 'BE', 'CF', 'EF']","{""crossing_count"":74,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6944,""line_width_px"":2.6,""num_endpoints"":6,""num_routes"":9,""seed"":18}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0018.png,"If one new route were added directly between D and A, what would the maximum endpoint degree become?",5,"{""crossing_count"":74,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.6944,""line_width_px"":2.6,""num_endpoints"":6,""num_routes"":9,""seed"":18}"
Image Description,route_puzzle_0019.png,How many distinct colored routes are visible in this image?,10,"{""crossing_count"":158,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5602,""line_width_px"":2.66,""num_endpoints"":4,""num_routes"":10,""seed"":19}"
Basic Relational Reasoning,route_puzzle_0019.png,Count the one-colored routes that go from B to D. Answer with a number in curly brackets e.g. {1},2,"{""crossing_count"":158,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5602,""line_width_px"":2.66,""num_endpoints"":4,""num_routes"":10,""seed"":19}"
Comparative Reasoning,route_puzzle_0019.png,Which letter has the most routes connected to it?,A,"{""crossing_count"":158,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5602,""line_width_px"":2.66,""num_endpoints"":4,""num_routes"":10,""seed"":19}"
Compound Reasoning,route_puzzle_0019.png,"Among all letters, list them in order from most connected routes to least connected routes.","['A (degree 7)', 'B (degree 5—tie)', 'D (degree 5—tie)', 'C (degree 3)']","{""crossing_count"":158,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5602,""line_width_px"":2.66,""num_endpoints"":4,""num_routes"":10,""seed"":19}"
Extrapolative/Counterfactual Reasoning,route_puzzle_0019.png,"If one new route were added directly between C and B, what would the maximum endpoint degree become?",7,"{""crossing_count"":158,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.5602,""line_width_px"":2.66,""num_endpoints"":4,""num_routes"":10,""seed"":19}"
Image Description,route_puzzle_0020.png,How many distinct colored routes are visible in this image?,11,"{""crossing_count"":153,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7273,""line_width_px"":2.79,""num_endpoints"":6,""num_routes"":11,""seed"":20}"
Basic Relational Reasoning,route_puzzle_0020.png,Count the one-colored routes that go from A to B. Answer with a number in curly brackets e.g. {1},2,"{""crossing_count"":153,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7273,""line_width_px"":2.79,""num_endpoints"":6,""num_routes"":11,""seed"":20}"
Comparative Reasoning,route_puzzle_0020.png,How many routes does letter F have in total (i.e. touching F)?,4,"{""crossing_count"":153,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7273,""line_width_px"":2.79,""num_endpoints"":6,""num_routes"":11,""seed"":20}"
Compound Reasoning,route_puzzle_0020.png,"Among all letters, list them in order from most connected routes to least connected routes.","['B (degree 5—tie)', 'C (degree 5—tie)', 'A (degree 4—tie)', 'F (degree 4—tie)', 'D (degree 2—tie)', 'E (degree 2—tie)']","{""crossing_count"":153,""dataset_version"":""route-2.0.0"",""difficulty_score"":0.7273,""line_width_px"":2.79,""num_endpoints"":6,""num_routes"":11,""seed"":20}"
