task,image,prompt,groundtruth,metadata
Image Description,surface_topology_0003.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",0,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":3,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Basic Relational Reasoning,surface_topology_0003.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":3,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Comparative Reasoning,surface_topology_0003.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":3,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Compound Reasoning,surface_topology_0003.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; orientable,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":3,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0003.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-1,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":3,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Image Description,surface_topology_0004.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":4,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Basic Relational Reasoning,surface_topology_0004.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":4,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Comparative Reasoning,surface_topology_0004.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":4,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Compound Reasoning,surface_topology_0004.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":4,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0004.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":4,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Image Description,surface_topology_0005.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",0,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":2,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":5,""surface_type"":""sphere_handles"",""surface_variant"":""genus_0_closed_surface""}"
Basic Relational Reasoning,surface_topology_0005.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":2,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":5,""surface_type"":""sphere_handles"",""surface_variant"":""genus_0_closed_surface""}"
Comparative Reasoning,surface_topology_0005.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",2,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":2,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":5,""surface_type"":""sphere_handles"",""surface_variant"":""genus_0_closed_surface""}"
Compound Reasoning,surface_topology_0005.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",2; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":2,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":5,""surface_type"":""sphere_handles"",""surface_variant"":""genus_0_closed_surface""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0005.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":2,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":5,""surface_type"":""sphere_handles"",""surface_variant"":""genus_0_closed_surface""}"
Image Description,surface_topology_0006.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",0,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.306,""edge_count"":208,""euler_characteristic"":2,""face_count"":104,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":6,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_0_cubical_mesh"",""vertex_count"":106}"
Basic Relational Reasoning,surface_topology_0006.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.306,""edge_count"":208,""euler_characteristic"":2,""face_count"":104,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":6,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_0_cubical_mesh"",""vertex_count"":106}"
Comparative Reasoning,surface_topology_0006.png,How many vertices does this mesh have?,106,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.306,""edge_count"":208,""euler_characteristic"":2,""face_count"":104,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":6,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_0_cubical_mesh"",""vertex_count"":106}"
Compound Reasoning,surface_topology_0006.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",2; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.306,""edge_count"":208,""euler_characteristic"":2,""face_count"":104,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":6,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_0_cubical_mesh"",""vertex_count"":106}"
Extrapolative/Counterfactual Reasoning,surface_topology_0006.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.306,""edge_count"":208,""euler_characteristic"":2,""face_count"":104,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":6,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_0_cubical_mesh"",""vertex_count"":106}"
Image Description,surface_topology_0007.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",1,"{""boundary_count"":1,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.5058,""euler_characteristic"":0,""genus"":1,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":7,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""mobius_strip""}"
Basic Relational Reasoning,surface_topology_0007.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",non-orientable,"{""boundary_count"":1,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.5058,""euler_characteristic"":0,""genus"":1,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":7,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""mobius_strip""}"
Comparative Reasoning,surface_topology_0007.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":1,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.5058,""euler_characteristic"":0,""genus"":1,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":7,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""mobius_strip""}"
Compound Reasoning,surface_topology_0007.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; non-orientable,"{""boundary_count"":1,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.5058,""euler_characteristic"":0,""genus"":1,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":7,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""mobius_strip""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0007.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-1,"{""boundary_count"":1,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.5058,""euler_characteristic"":0,""genus"":1,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":7,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""mobius_strip""}"
Image Description,surface_topology_0008.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",2,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6892,""euler_characteristic"":0,""genus"":2,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":8,""surface_type"":""klein_vs_torus"",""surface_variant"":""klein_bottle""}"
Basic Relational Reasoning,surface_topology_0008.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",non-orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6892,""euler_characteristic"":0,""genus"":2,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":8,""surface_type"":""klein_vs_torus"",""surface_variant"":""klein_bottle""}"
Comparative Reasoning,surface_topology_0008.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6892,""euler_characteristic"":0,""genus"":2,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":8,""surface_type"":""klein_vs_torus"",""surface_variant"":""klein_bottle""}"
Compound Reasoning,surface_topology_0008.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; non-orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6892,""euler_characteristic"":0,""genus"":2,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":8,""surface_type"":""klein_vs_torus"",""surface_variant"":""klein_bottle""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0008.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6892,""euler_characteristic"":0,""genus"":2,""genus_kind"":""nonorientable_crosscap_genus"",""is_orientable"":false,""seed"":8,""surface_type"":""klein_vs_torus"",""surface_variant"":""klein_bottle""}"
Image Description,surface_topology_0009.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",2,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6067,""euler_characteristic"":-2,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":9,""surface_type"":""sphere_handles"",""surface_variant"":""genus_2_closed_surface""}"
Basic Relational Reasoning,surface_topology_0009.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6067,""euler_characteristic"":-2,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":9,""surface_type"":""sphere_handles"",""surface_variant"":""genus_2_closed_surface""}"
Comparative Reasoning,surface_topology_0009.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",-2,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6067,""euler_characteristic"":-2,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":9,""surface_type"":""sphere_handles"",""surface_variant"":""genus_2_closed_surface""}"
Compound Reasoning,surface_topology_0009.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",-2; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6067,""euler_characteristic"":-2,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":9,""surface_type"":""sphere_handles"",""surface_variant"":""genus_2_closed_surface""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0009.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-3,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6067,""euler_characteristic"":-2,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":9,""surface_type"":""sphere_handles"",""surface_variant"":""genus_2_closed_surface""}"
Image Description,surface_topology_0010.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",2,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6727,""edge_count"":336,""euler_characteristic"":-2,""face_count"":168,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":10,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_2_cubical_mesh"",""vertex_count"":166}"
Basic Relational Reasoning,surface_topology_0010.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6727,""edge_count"":336,""euler_characteristic"":-2,""face_count"":168,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":10,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_2_cubical_mesh"",""vertex_count"":166}"
Comparative Reasoning,surface_topology_0010.png,How many vertices does this mesh have?,166,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6727,""edge_count"":336,""euler_characteristic"":-2,""face_count"":168,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":10,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_2_cubical_mesh"",""vertex_count"":166}"
Compound Reasoning,surface_topology_0010.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",-2; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6727,""edge_count"":336,""euler_characteristic"":-2,""face_count"":168,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":10,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_2_cubical_mesh"",""vertex_count"":166}"
Extrapolative/Counterfactual Reasoning,surface_topology_0010.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-3,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.6727,""edge_count"":336,""euler_characteristic"":-2,""face_count"":168,""genus"":2,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":10,""surface_type"":""polyhedral_mesh"",""surface_variant"":""genus_2_cubical_mesh"",""vertex_count"":166}"
Image Description,surface_topology_0011.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",0,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":11,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Basic Relational Reasoning,surface_topology_0011.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":11,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Comparative Reasoning,surface_topology_0011.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":11,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Compound Reasoning,surface_topology_0011.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; orientable,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":11,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Extrapolative/Counterfactual Reasoning,surface_topology_0011.png,"If a small open disk were removed from this surface, creating exactly one additional boundary component without changing its genus or orientability, what would its new Euler characteristic be? Answer with a number in curly brackets, e.g. {-1}.",-1,"{""boundary_count"":2,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.24,""euler_characteristic"":0,""genus"":0,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":11,""surface_type"":""mobius_vs_cylinder"",""surface_variant"":""cylindrical_band""}"
Image Description,surface_topology_0012.png,"How many holes or handles does this surface have? Answer with a number in curly brackets, e.g. {1}.",1,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":12,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Basic Relational Reasoning,surface_topology_0012.png,"Is this surface orientable (has a consistent 'inside' and 'outside') or non-orientable (a single-sided surface, like a Möbius strip)? Answer 'orientable' or 'non-orientable'.",orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":12,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Comparative Reasoning,surface_topology_0012.png,"What is the Euler characteristic of this surface? Answer with a number in curly brackets (can be negative), e.g. {-2}.",0,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":12,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
Compound Reasoning,surface_topology_0012.png,"Combine the depicted surface's genus/handle structure and orientability: report its Euler characteristic, followed by whether it is orientable or non-orientable. Answer as 'Euler characteristic; orientability'.",0; orientable,"{""boundary_count"":0,""dataset_version"":""surface-topology-3.0.0"",""difficulty_score"":0.4233,""euler_characteristic"":0,""genus"":1,""genus_kind"":""orientable_handle_genus"",""is_orientable"":true,""seed"":12,""surface_type"":""klein_vs_torus"",""surface_variant"":""torus""}"
