task,image,prompt,groundtruth,metadata
Compound Reasoning,depth_height_0012.png,How many total blocks are there across all stacks combined?,14,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":12,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Extrapolative/Counterfactual Reasoning,depth_height_0012.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?",1,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":12,""shortest_stack_color"":""purple"",""tallest_stack_color"":""teal""}"
Image Description,depth_height_0013.png,How many objects are shown in this scene?,4,"{""base_size_px"":87.6476,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":13}"
Basic Relational Reasoning,depth_height_0013.png,Which object is closer to the camera: the purple square or the orange triangle?,purple,"{""base_size_px"":87.6476,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":13}"
Comparative Reasoning,depth_height_0013.png,"Rank all objects in this scene from closest to farthest, by color.","['magenta', 'purple', 'orange', 'teal']","{""base_size_px"":87.6476,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":13}"
Compound Reasoning,depth_height_0013.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.65,"{""base_size_px"":87.6476,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":13}"
Extrapolative/Counterfactual Reasoning,depth_height_0013.png,"If the purple object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?",smaller,"{""base_size_px"":87.6476,""closest_object_color"":""magenta"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""teal"",""scene_type"":""depth_ordering"",""seed"":13}"
Image Description,depth_height_0014.png,How many separate stacks of blocks are shown in this image?,4,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":14,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""blue""}"
Basic Relational Reasoning,depth_height_0014.png,Which stack is taller: the orange stack or the blue stack?,blue,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":14,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""blue""}"
Comparative Reasoning,depth_height_0014.png,"Rank all stacks from tallest to shortest, by color.","['blue', 'purple', 'orange', 'magenta']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":14,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""blue""}"
Compound Reasoning,depth_height_0014.png,How many total blocks are there across all stacks combined?,14,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":14,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""blue""}"
Extrapolative/Counterfactual Reasoning,depth_height_0014.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?",1,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":14,""shortest_stack_color"":""magenta"",""tallest_stack_color"":""blue""}"
Image Description,depth_height_0015.png,How many objects are shown in this scene?,4,"{""base_size_px"":79.3246,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":15}"
Basic Relational Reasoning,depth_height_0015.png,Which object is closer to the camera: the purple circle or the magenta triangle?,purple,"{""base_size_px"":79.3246,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":15}"
Comparative Reasoning,depth_height_0015.png,"Rank all objects in this scene from closest to farthest, by color.","['orange', 'purple', 'teal', 'magenta']","{""base_size_px"":79.3246,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":15}"
Compound Reasoning,depth_height_0015.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.75,"{""base_size_px"":79.3246,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":15}"
Extrapolative/Counterfactual Reasoning,depth_height_0015.png,"If the orange object moved twice as far from the camera as its current distance, would it appear larger, smaller, or about the same size as the magenta object?",larger,"{""base_size_px"":79.3246,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.76,""farthest_object_color"":""magenta"",""scene_type"":""depth_ordering"",""seed"":15}"
Image Description,depth_height_0016.png,How many separate stacks of blocks are shown in this image?,3,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":16,""shortest_stack_color"":""blue"",""tallest_stack_color"":""teal""}"
Basic Relational Reasoning,depth_height_0016.png,Which stack is taller: the teal stack or the blue stack?,teal,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":16,""shortest_stack_color"":""blue"",""tallest_stack_color"":""teal""}"
Comparative Reasoning,depth_height_0016.png,"Rank all stacks from tallest to shortest, by color.","['teal', 'orange', 'blue']","{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":16,""shortest_stack_color"":""blue"",""tallest_stack_color"":""teal""}"
Compound Reasoning,depth_height_0016.png,How many total blocks are there across all stacks combined?,14,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":16,""shortest_stack_color"":""blue"",""tallest_stack_color"":""teal""}"
Extrapolative/Counterfactual Reasoning,depth_height_0016.png,"If one block moved from a tallest stack to a shortest stack, what would the new difference between tallest and shortest stack heights be?",3,"{""block_height_px"":21,""block_pitch_px"":24,""block_width_px"":54,""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.91,""scene_type"":""stack_height"",""seed"":16,""shortest_stack_color"":""blue"",""tallest_stack_color"":""teal""}"
Image Description,depth_height_0017.png,How many objects are shown in this scene?,3,"{""base_size_px"":80.4757,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":17}"
Basic Relational Reasoning,depth_height_0017.png,Which object is closer to the camera: the teal triangle or the orange circle?,orange,"{""base_size_px"":80.4757,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":17}"
Comparative Reasoning,depth_height_0017.png,"Rank all objects in this scene from closest to farthest, by color.","['orange', 'teal', 'purple']","{""base_size_px"":80.4757,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":17}"
Compound Reasoning,depth_height_0017.png,"What is the difference between the farthest and closest stored depth values, rounded to two decimals?",0.44,"{""base_size_px"":80.4757,""closest_object_color"":""orange"",""dataset_version"":""depth-height-2.0.0"",""difficulty_score"":0.44,""farthest_object_color"":""purple"",""scene_type"":""depth_ordering"",""seed"":17}"
