task,image,prompt,groundtruth,metadata
Basic Relational Reasoning,combination3d_0003.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",C,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.51,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":3,""target_cube_count"":12,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0003.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.,no,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.51,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":3,""target_cube_count"":12,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0003.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","12,4","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.51,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":3,""target_cube_count"":12,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0003.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.51,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":3,""target_cube_count"":12,""vertical_axis"":""z""}"
Image Description,combination3d_0004.png,How many individual cubes make up the target structure?,8,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.35,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":4,""target_cube_count"":8,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0004.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",D,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.35,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":4,""target_cube_count"":8,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0004.png,How many separate pieces are shown in candidate B?,2,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.35,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":4,""target_cube_count"":8,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0004.png,"Which candidate has the correct cube count and piece shapes but would require tipping a piece onto a different face, rather than only spinning it around the vertical axis?",C,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.35,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":4,""target_cube_count"":8,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0004.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","9,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.35,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":4,""target_cube_count"":8,""vertical_axis"":""z""}"
Image Description,combination3d_0005.png,How many individual cubes make up the target structure?,10,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":5,""target_cube_count"":10,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0005.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":5,""target_cube_count"":10,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0005.png,How many separate pieces are shown in candidate A?,2,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":5,""target_cube_count"":10,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0005.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","10,1","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":5,""target_cube_count"":10,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0005.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":5,""target_cube_count"":10,""vertical_axis"":""z""}"
Image Description,combination3d_0006.png,How many individual cubes make up the target structure?,14,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":6,""target_cube_count"":14,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0006.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",B,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":6,""target_cube_count"":14,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0006.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":6,""target_cube_count"":14,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0006.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","14,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":6,""target_cube_count"":14,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0006.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.66,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":6,""target_cube_count"":14,""vertical_axis"":""z""}"
Image Description,combination3d_0007.png,How many individual cubes make up the target structure?,9,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.46,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":7,""target_cube_count"":9,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0007.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",C,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.46,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":7,""target_cube_count"":9,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0007.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.46,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":7,""target_cube_count"":9,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0007.png,"Which candidate has the correct cube count and piece shapes but would require tipping a piece onto a different face, rather than only spinning it around the vertical axis?",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.46,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":7,""target_cube_count"":9,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0007.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","10,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.46,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":7,""target_cube_count"":9,""vertical_axis"":""z""}"
Image Description,combination3d_0008.png,How many individual cubes make up the target structure?,11,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.54,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":8,""target_cube_count"":11,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0008.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",D,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.54,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":8,""target_cube_count"":11,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0008.png,Does candidate A have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.54,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":8,""target_cube_count"":11,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0008.png,Which candidate has the wrong total number of cubes compared to the target?,B,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.54,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":8,""target_cube_count"":11,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0008.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","12,4","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.54,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":8,""target_cube_count"":11,""vertical_axis"":""z""}"
Image Description,combination3d_0009.png,How many individual cubes make up the target structure?,10,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":9,""target_cube_count"":10,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0009.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":9,""target_cube_count"":10,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0009.png,Does candidate B have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":9,""target_cube_count"":10,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0009.png,Which candidate has the wrong total number of cubes compared to the target?,C,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":9,""target_cube_count"":10,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0009.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","11,4","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.43,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":9,""target_cube_count"":10,""vertical_axis"":""z""}"
Image Description,combination3d_0010.png,How many individual cubes make up the target structure?,11,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.47,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":10,""target_cube_count"":11,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0010.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",B,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.47,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":10,""target_cube_count"":11,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0010.png,How many separate pieces are shown in candidate B?,2,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.47,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":10,""target_cube_count"":11,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0010.png,Which candidate has the wrong total number of cubes compared to the target?,D,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.47,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":10,""target_cube_count"":11,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0010.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","12,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""B"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.47,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":10,""target_cube_count"":11,""vertical_axis"":""z""}"
Image Description,combination3d_0011.png,How many individual cubes make up the target structure?,12,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.58,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":11,""target_cube_count"":12,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0011.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",C,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.58,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":11,""target_cube_count"":12,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0011.png,How many separate pieces are shown in candidate A?,3,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.58,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":11,""target_cube_count"":12,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0011.png,"Which candidate has the correct cube count and piece shapes but would require tipping a piece onto a different face, rather than only spinning it around the vertical axis?",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.58,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":11,""target_cube_count"":12,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0011.png,"If one cube were added directly above a highest cube, what would the new total cube count and maximum height along the vertical z-axis be? Answer as count,height.","13,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""C"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.58,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":11,""target_cube_count"":12,""vertical_axis"":""z""}"
Image Description,combination3d_0012.png,How many individual cubes make up the target structure?,13,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.55,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":12,""target_cube_count"":13,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0012.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",D,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.55,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":12,""target_cube_count"":13,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0012.png,How many separate pieces are shown in candidate A?,2,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.55,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":12,""target_cube_count"":13,""vertical_axis"":""z""}"
Compound Reasoning,combination3d_0012.png,"Give the target's total cube count and maximum height along the vertical z-axis in layers as count,height.","13,3","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.55,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":12,""target_cube_count"":13,""vertical_axis"":""z""}"
Extrapolative/Counterfactual Reasoning,combination3d_0012.png,"If the correctly assembled structure were rotated 90 degrees around the vertical z-axis as a whole, would it be the 'same shape, different angle' or a 'different structure'?","same shape, different angle","{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""D"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.55,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":12,""target_cube_count"":13,""vertical_axis"":""z""}"
Image Description,combination3d_0013.png,How many individual cubes make up the target structure?,13,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.62,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":13,""target_cube_count"":13,""vertical_axis"":""z""}"
Basic Relational Reasoning,combination3d_0013.png,"Which set of pieces (A, B, C, or D) can be assembled using only translation and rotation around the vertical axis to exactly form the target structure? Answer with the letter.",A,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.62,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":13,""target_cube_count"":13,""vertical_axis"":""z""}"
Comparative Reasoning,combination3d_0013.png,Does candidate B have the same total number of cubes as the target? Answer yes or no.,yes,"{""coordinate_frame"":""right_handed_xyz"",""correct_answer_choice"":""A"",""dataset_version"":""combination3d-2.0.0"",""difficulty_score"":0.62,""gravity_supported"":true,""renderer_projection"":""screen_x=0.8660254*(x-y); screen_y=0.5*(x+y)-z"",""seed"":13,""target_cube_count"":13,""vertical_axis"":""z""}"
