task,image,prompt,groundtruth,metadata
Image Description,fold_punch_0003.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":3}"
Basic Relational Reasoning,fold_punch_0003.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":3}"
Comparative Reasoning,fold_punch_0003.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":3}"
Compound Reasoning,fold_punch_0003.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":3}"
Extrapolative/Counterfactual Reasoning,fold_punch_0003.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":3}"
Image Description,fold_punch_0004.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":4}"
Basic Relational Reasoning,fold_punch_0004.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":4}"
Comparative Reasoning,fold_punch_0004.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",D,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":4}"
Compound Reasoning,fold_punch_0004.png,Which candidate has the wrong total number of holes?,C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":4}"
Extrapolative/Counterfactual Reasoning,fold_punch_0004.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",16,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":4}"
Image Description,fold_punch_0005.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":5}"
Basic Relational Reasoning,fold_punch_0005.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":5}"
Comparative Reasoning,fold_punch_0005.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":5}"
Compound Reasoning,fold_punch_0005.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":5}"
Extrapolative/Counterfactual Reasoning,fold_punch_0005.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":5}"
Image Description,fold_punch_0006.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":6}"
Basic Relational Reasoning,fold_punch_0006.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":6}"
Comparative Reasoning,fold_punch_0006.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",B,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":6}"
Compound Reasoning,fold_punch_0006.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":6}"
Extrapolative/Counterfactual Reasoning,fold_punch_0006.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":6}"
Image Description,fold_punch_0007.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":7}"
Basic Relational Reasoning,fold_punch_0007.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":7}"
Comparative Reasoning,fold_punch_0007.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":7}"
Compound Reasoning,fold_punch_0007.png,Which candidate has the correct number of holes but in the wrong positions?,A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":7}"
Extrapolative/Counterfactual Reasoning,fold_punch_0007.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":7}"
Image Description,fold_punch_0008.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":8}"
Basic Relational Reasoning,fold_punch_0008.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":8}"
Comparative Reasoning,fold_punch_0008.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",D,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":8}"
Compound Reasoning,fold_punch_0008.png,Which candidate has the wrong total number of holes?,A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":8}"
Extrapolative/Counterfactual Reasoning,fold_punch_0008.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",16,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":8}"
Image Description,fold_punch_0009.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":9}"
Basic Relational Reasoning,fold_punch_0009.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":9}"
Comparative Reasoning,fold_punch_0009.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":9}"
Compound Reasoning,fold_punch_0009.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":9}"
Extrapolative/Counterfactual Reasoning,fold_punch_0009.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":9}"
Image Description,fold_punch_0010.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":10}"
Basic Relational Reasoning,fold_punch_0010.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":10}"
Comparative Reasoning,fold_punch_0010.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",B,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":10}"
Compound Reasoning,fold_punch_0010.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":10}"
Extrapolative/Counterfactual Reasoning,fold_punch_0010.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",16,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":10}"
Image Description,fold_punch_0011.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":11}"
Basic Relational Reasoning,fold_punch_0011.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":11}"
Comparative Reasoning,fold_punch_0011.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":11}"
Compound Reasoning,fold_punch_0011.png,Which candidate has the correct number of holes but in the wrong positions?,A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":11}"
Extrapolative/Counterfactual Reasoning,fold_punch_0011.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.5,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":11}"
Image Description,fold_punch_0012.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":12}"
Basic Relational Reasoning,fold_punch_0012.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":12}"
Comparative Reasoning,fold_punch_0012.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",D,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":12}"
Compound Reasoning,fold_punch_0012.png,Which candidate has the wrong total number of holes?,B,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":12}"
Extrapolative/Counterfactual Reasoning,fold_punch_0012.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":12}"
Image Description,fold_punch_0013.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":13}"
Basic Relational Reasoning,fold_punch_0013.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":13}"
Comparative Reasoning,fold_punch_0013.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":13}"
Compound Reasoning,fold_punch_0013.png,Which candidate has the correct number of holes but in the wrong positions?,C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":13}"
Extrapolative/Counterfactual Reasoning,fold_punch_0013.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""A"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":13}"
Image Description,fold_punch_0014.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":14}"
Basic Relational Reasoning,fold_punch_0014.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":14}"
Comparative Reasoning,fold_punch_0014.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",B,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":14}"
Compound Reasoning,fold_punch_0014.png,Which candidate has the wrong total number of holes?,D,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":14}"
Extrapolative/Counterfactual Reasoning,fold_punch_0014.png,"If one additional fold were made and the punch stayed away from the new crease, how many holes would appear after fully unfolding?",16,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""B"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.68,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":14}"
Image Description,fold_punch_0015.png,How many fold steps are shown before the paper is punched?,2,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":15}"
Basic Relational Reasoning,fold_punch_0015.png,How many holes will appear when the paper is fully unfolded?,4,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":15}"
Comparative Reasoning,fold_punch_0015.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",C,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":15}"
Compound Reasoning,fold_punch_0015.png,Which candidate has the wrong total number of holes?,B,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":15}"
Extrapolative/Counterfactual Reasoning,fold_punch_0015.png,"If the last fold were removed, would the unfolded hole count be 'exactly half' or have a 'different relationship'?",exactly half,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""C"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.46,""minimum_distractor_displacement"":0.04,""num_folds"":2,""num_holes"":4,""seed"":15}"
Image Description,fold_punch_0016.png,How many fold steps are shown before the paper is punched?,3,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":16}"
Basic Relational Reasoning,fold_punch_0016.png,How many holes will appear when the paper is fully unfolded?,8,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":16}"
Comparative Reasoning,fold_punch_0016.png,"Which of the four unfolded patterns (A, B, C, D) correctly shows where the holes will appear? Answer with the letter.",D,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":16}"
Compound Reasoning,fold_punch_0016.png,Which candidate has the wrong total number of holes?,A,"{""coordinate_frame"":""normalized_original_sheet_xy"",""correct_answer_choice"":""D"",""dataset_version"":""fold-punch-2.0.0"",""difficulty_score"":0.64,""minimum_distractor_displacement"":0.04,""num_folds"":3,""num_holes"":8,""seed"":16}"
